,hurricane beryl,#hurricanechris,hurricane chris,#hurricanedebby,hurricane debby,#hurricaneernesto,hurricane ernesto,hurricane gordon,#hurricaneisaac,hurricane isaac,hurricane kirk,#hurricaneleslie,hurricane leslie,#hurricanemichael,hurricane michael,hurricane nadine,#hurricanerafael,hurricane rafael,#hurricanesandy,hurricane sandy
2012-05-27,13.0,,,,,,,,,,,,,,,,,,,
2012-05-28,,,,,,,,,,,,,,,,,,,,
2012-05-29,,,,,,,,,,,,,,,,,,,,
2012-05-30,,,,,,,,,,,,,,,,,,,,
2012-05-31,,,,,,,,,,,,,,,,,,,,
2012-06-01,,,,,,,,,,,,,,,,,,,,
2012-06-02,,,,,,,,,,,,,,,,,,,,
2012-06-03,,,,,,,,,,,,,,,,,,,,
2012-06-04,,,,,,,,,,,,,,,,,,,,
2012-06-05,,,,,,,,,,,,,,,,,,,,
2012-06-06,,,,,,,,,,,,,,,,,,,,
2012-06-07,,,,,,,,,,,,,,,,,,,,
2012-06-08,,,,,,,,,,,,,,,,,,,,
2012-06-09,,,,,,,,,,,,,,,,,,,,
2012-06-10,,,,,,,,,,,,,,,,,,,,
2012-06-11,,,,,,,,,,,,,,,,,,,,
2012-06-12,,,,,,,,,,,,,,,,,,,,
2012-06-13,,,,,,,,,,,,,,,,,,,,
2012-06-14,,,,,,,,,,,,,,,,,,,,
2012-06-15,,,,,,,,,,,,,,,,,,,,
2012-06-16,,,,,,,,,,,,,,,,,,,,
2012-06-17,,,,,,,,,,,,,,,,,,,,
2012-06-18,,,33.0,,,,,,,,,,,,,,,,,
2012-06-19,,,29.0,,,,,,,,,,,,,,,,,
2012-06-20,,,65.0,,,,,,,,,,,,,,,,,
2012-06-21,,6.0,137.0,,,,,,,,,,,,,,,,,
2012-06-22,,0.0,60.0,,,,,,,,,,,,,,,,,
2012-06-23,,0.0,25.0,,16.0,,,,,,,,,,,,,,,
2012-06-24,,4.0,17.0,13.0,80.0,,,,,,,,,,,,,,,
2012-06-25,,0.0,55.0,15.0,56.0,,,,,,,,,,,,,,,
2012-06-26,,0.0,40.0,8.0,57.0,,,,,,,,,,,,,,,
2012-06-27,,0.0,41.0,,14.0,,,,,,,,,,,,,,,
2012-06-28,,0.0,36.0,,,,,,,,,,,,,,,,,
2012-06-29,,0.0,21.0,,,,,,,,,,,,,,,,,
2012-06-30,,0.0,28.0,,,,,,,,,,,,,,,,,
2012-07-01,,0.0,74.0,,,,,,,,,,,,,,,,,
2012-07-02,,0.0,15.0,,,,,,,,,,,,,,,,,
2012-07-03,,0.0,34.0,,,,,,,,,,,,,,,,,
2012-07-04,,0.0,23.0,,,,,,,,,,,,,,,,,
2012-07-05,,0.0,25.0,,,,,,,,,,,,,,,,,
2012-07-06,,0.0,312.0,,,,,,,,,,,,,,,,,
2012-07-07,,0.0,254.0,,,,,,,,,,,,,,,,,
2012-07-08,,0.0,38.0,,,,,,,,,,,,,,,,,
2012-07-09,,0.0,69.0,,,,,,,,,,,,,,,,,
2012-07-10,,0.0,43.0,,,,,,,,,,,,,,,,,
2012-07-11,,0.0,20.0,,,,,,,,,,,,,,,,,
2012-07-12,,0.0,25.0,,,,,,,,,,,,,,,,,
2012-07-13,,0.0,44.0,,,,,,,,,,,,,,,,,
2012-07-14,,0.0,19.0,,,,,,,,,,,,,,,,,
2012-07-15,,0.0,28.0,,,,,,,,,,,,,,,,,
2012-07-16,,0.0,22.0,,,,,,,,,,,,,,,,,
2012-07-17,,0.0,32.0,,,,,,,,,,,,,,,,,
2012-07-18,,0.0,37.0,,,,,,,,,,,,,,,,,
2012-07-19,,0.0,28.0,,,,,,,,,,,,,,,,,
2012-07-20,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-07-21,,0.0,24.0,,,,,,,,,,,,,,,,,
2012-07-22,,0.0,22.0,,,,,,,,,,,,,,,,,
2012-07-23,,0.0,17.0,,,,,,,,,,,,,,,,,
2012-07-24,,0.0,38.0,,,,,,,,,,,,,,,,,
2012-07-25,,0.0,23.0,,,,,,,,,,,,,,,,,
2012-07-26,,0.0,31.0,,,,,,,,,,,,,,,,,
2012-07-27,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-07-28,,0.0,30.0,,,,,,,,,,,,,,,,,
2012-07-29,,0.0,19.0,,,,,,,,,,,,,,,,,
2012-07-30,,0.0,37.0,,,,,,,,,,,,,,,,,
2012-07-31,,0.0,269.0,,,,,,,,,,,,,,,,,
2012-08-01,,0.0,137.0,,,,,,,,,,,,,,,,,
2012-08-02,,0.0,44.0,,,,,,,,,,,,,,,,,
2012-08-03,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-08-04,,0.0,23.0,,,5.0,,,,,,,,,,,,,,
2012-08-05,,0.0,22.0,,,4.0,,,,,,,,,,,,,,
2012-08-06,,0.0,23.0,,,0.0,17.0,,,,,,,,,,,,,
2012-08-07,,0.0,61.0,,,0.0,222.0,,,,,,,,,,,,,
2012-08-08,,0.0,0.0,,,13.0,0.0,,,,,,,,,,,,,
2012-08-09,,0.0,181.0,,,,33.0,,,,,,,,,,,,,
2012-08-10,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-08-11,,0.0,34.0,,,,,,,,,,,,,,,,,
2012-08-12,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-08-13,,0.0,31.0,,,,,,,,,,,,,,,,,
2012-08-14,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-08-15,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-08-16,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-08-17,,0.0,0.0,,,,,,,,,,,,,,,,,
2012-08-18,,0.0,23.0,,,,,97.0,,,,,,,,,,,,
2012-08-19,,0.0,78.0,,,,,270.0,,,,,,,,,,,,
2012-08-20,,0.0,26.0,,,,,147.0,,,,,,,,,,,,
2012-08-21,,0.0,22.0,,,,,,6.0,57.0,,,,,,,,,,
2012-08-22,,0.0,69.0,,,,,,28.0,491.0,,,,,,,,,,
2012-08-23,,0.0,17.0,,,,,,69.0,716.0,,,,,,,,,,
2012-08-24,,0.0,20.0,,,,,,111.0,503.0,,,,,,,,,,
2012-08-25,,0.0,30.0,,,,,,189.0,884.0,,,,,,,,,,
2012-08-26,,0.0,88.0,,,,,,436.0,2878.0,,,,,,,,,,
2012-08-27,,0.0,68.0,,,,,,553.0,3299.0,,,,,,,,,,
2012-08-28,,0.0,150.0,,,,,,1021.0,6813.0,,,,,,,,,,
2012-08-29,,11.0,165.0,,,,,,1462.0,8462.0,,,,,,,,,,
2012-08-30,,0.0,32.0,,,,,,368.0,2125.0,161.0,,,,,,,,,
2012-08-31,,0.0,14.0,,,,,,128.0,1774.0,97.0,,,,,,,,,
2012-09-01,,0.0,22.0,,,,,,62.0,1239.0,0.0,,,,,,,,,
2012-09-02,,0.0,28.0,,,,,,40.0,773.0,0.0,,,,,,,,,
2012-09-03,,0.0,25.0,,,,,,37.0,611.0,0.0,,,,,,,,,
2012-09-04,,0.0,19.0,,,,,,29.0,668.0,190.0,,,,,,,,,
2012-09-05,,0.0,27.0,,,,,,23.0,684.0,,8.0,138.0,,,,,,,
2012-09-06,,0.0,19.0,,,,,,22.0,504.0,,13.0,297.0,,190.0,,,,,
2012-09-07,,0.0,18.0,,,,,,21.0,324.0,,10.0,279.0,,69.0,,,,,
2012-09-08,,0.0,12.0,,,,,,17.0,107.0,,11.0,43.0,,45.0,,,,,
2012-09-09,,0.0,21.0,,,,,,6.0,87.0,,0.0,37.0,,63.0,,,,,
2012-09-10,,0.0,17.0,,,,,,13.0,77.0,,13.0,51.0,,76.0,,,,,
2012-09-11,,0.0,16.0,,,,,,21.0,98.0,,29.0,31.0,,,,,,,
2012-09-12,,0.0,18.0,,,,,,14.0,73.0,,4.0,,,,,,,,
2012-09-13,,0.0,13.0,,,,,,12.0,170.0,,,,,,,,,,
2012-09-14,,0.0,12.0,,,,,,6.0,76.0,,,,,,,,,,
2012-09-15,,0.0,13.0,,,,,,10.0,55.0,,,,,,123.0,,,,
2012-09-16,,0.0,16.0,,,,,,8.0,25.0,,,,,,81.0,,,,
2012-09-17,,0.0,13.0,,,,,,5.0,57.0,,,,,,0.0,,,,
2012-09-18,,0.0,23.0,,,,,,0.0,54.0,,,,,,0.0,,,,
2012-09-19,,0.0,17.0,,,,,,6.0,46.0,,,,,,0.0,,,,
2012-09-20,,0.0,0.0,,,,,,0.0,50.0,,,,,,0.0,,,,
2012-09-21,,0.0,13.0,,,,,,0.0,31.0,,,,,,0.0,,,,
2012-09-22,,0.0,13.0,,,,,,0.0,25.0,,,,,,0.0,,,,
2012-09-23,,0.0,17.0,,,,,,0.0,15.0,,,,,,0.0,,,,
2012-09-24,,0.0,14.0,,,,,,0.0,30.0,,,,,,0.0,,,,
2012-09-25,,0.0,25.0,,,,,,0.0,41.0,,,,,,0.0,,,,
2012-09-26,,0.0,15.0,,,,,,7.0,24.0,,,,,,0.0,,,,
2012-09-27,,0.0,20.0,,,,,,6.0,13.0,,,,,,0.0,,,,
2012-09-28,,0.0,0.0,,,,,,6.0,29.0,,,,,,63.0,,,,
2012-09-29,,0.0,42.0,,,,,,10.0,23.0,,,,,,47.0,,,,
2012-09-30,,0.0,24.0,,,,,,8.0,16.0,,,,,,68.0,,,,
2012-10-01,,0.0,29.0,,,,,,7.0,24.0,,,,,,15.0,,,,
2012-10-02,,0.0,0.0,,,,,,0.0,20.0,,,,,,,,,,
2012-10-03,,0.0,33.0,,,,,,5.0,22.0,,,,,,,,,,
2012-10-04,,0.0,20.0,,,,,,6.0,22.0,,,,,,,,,,
2012-10-05,,0.0,14.0,,,,,,7.0,12.0,,,,,,,,,,
2012-10-06,,0.0,25.0,,,,,,7.0,0.0,,,,,,,,,,
2012-10-07,,0.0,29.0,,,,,,8.0,0.0,,,,,,,,,,
2012-10-08,,0.0,19.0,,,,,,8.0,0.0,,,,,,,,,,
2012-10-09,,0.0,62.0,,,,,,7.0,17.0,,,,,,,,,,
2012-10-10,,0.0,0.0,,,,,,0.0,72.0,,,,,,,,,,
2012-10-11,,0.0,16.0,,,,,,0.0,42.0,,,,,,,,,,
2012-10-12,,0.0,80.0,,,,,,0.0,12.0,,,,,,,,,,
2012-10-13,,0.0,38.0,,,,,,0.0,0.0,,,,,,,,,,
2012-10-14,,0.0,25.0,,,,,,0.0,0.0,,,,,,,,,,
2012-10-15,,0.0,26.0,,,,,,6.0,14.0,,,,,,,,46.0,,
2012-10-16,,0.0,0.0,,,,,,5.0,0.0,,,,,,,10.0,174.0,,
2012-10-17,,0.0,21.0,,,,,,4.0,0.0,,,,,,,,56.0,,
2012-10-18,,0.0,15.0,,,,,,8.0,11.0,,,,,,,,,,
2012-10-19,,0.0,14.0,,,,,,0.0,15.0,,,,,,,,,,
2012-10-20,,0.0,15.0,,,,,,0.0,0.0,,,,,,,,,,
2012-10-21,,0.0,16.0,,,,,,0.0,0.0,,,,,,,,,,
2012-10-22,,0.0,26.0,,,,,,0.0,0.0,,,,,,,,,,
2012-10-23,,0.0,29.0,,,,,,0.0,17.0,,,,,,,,,8.0,82.0
2012-10-24,,0.0,25.0,,,,,,0.0,0.0,,,,,,,,,214.0,1718.0
2012-10-25,,0.0,57.0,,,,,,0.0,0.0,,,,,,,,,561.0,5592.0
2012-10-26,,0.0,103.0,,,,,,0.0,0.0,,,,,,,,,1498.0,10754.0
2012-10-27,,0.0,47.0,,,,,,0.0,12.0,,,,,,,,,2231.0,14306.0
2012-10-28,,0.0,1107.0,,,,,,8.0,36.0,,,,7.0,,,,,11669.0,61191.0
2012-10-29,,7.0,1112.0,,,,,,8.0,36.0,,,,,,,,,40161.0,124810.0
2012-10-30,,,321.0,,,,,,11.0,21.0,,,,,,,,,13765.0,57487.0
2012-10-31,,,104.0,,,,,,17.0,0.0,,,,,,,,,3596.0,22055.0
2012-11-01,,,198.0,,,,,,19.0,0.0,,,,,,,,,2169.0,17155.0
2012-11-02,,,114.0,,,,,,13.0,0.0,,,,,,,,,2543.0,18183.0
2012-11-03,,,67.0,,,,,,14.0,0.0,,,,,,,,,1290.0,9799.0
2012-11-04,,,117.0,,,,,,16.0,0.0,,,,,,,,,914.0,11048.0
2012-11-05,,,47.0,,,,,,15.0,0.0,,,,,,,,,986.0,10104.0
2012-11-06,,,19.0,,,,,,19.0,0.0,,,,,,,,,588.0,6719.0
2012-11-07,,,18.0,,,,,,19.0,0.0,,,,,,,,,482.0,9462.0
2012-11-08,,,50.0,,,,,,27.0,0.0,,,,,,,,,411.0,6346.0
2012-11-09,,,16.0,,,,,,31.0,0.0,,,,,,,,,358.0,6154.0
2012-11-10,,,48.0,,,,,,30.0,0.0,,,,,,,,,226.0,6861.0
2012-11-11,,,0.0,,,,,,32.0,0.0,,,,,,,,,222.0,3301.0
2012-11-12,,,112.0,,,,,,11.0,0.0,,,,,,,,,226.0,6436.0
2012-11-13,,,48.0,,,,,,24.0,0.0,,,,,,,,,228.0,3214.0
2012-11-14,,,28.0,,,,,,23.0,0.0,,,,,,,,,167.0,2854.0
2012-11-15,,,24.0,,,,,,23.0,0.0,,,,,,,,,217.0,2937.0
2012-11-16,,,16.0,,,,,,21.0,0.0,,,,,,,,,173.0,2361.0
2012-11-17,,,0.0,,,,,,23.0,0.0,,,,,,,,,116.0,1341.0
2012-11-18,,,32.0,,,,,,0.0,0.0,,,,,,,,,86.0,1441.0
2012-11-19,,,20.0,,,,,,5.0,0.0,,,,,,,,,125.0,1831.0
