,#hurricanearthur,hurricane arthur,#hurricanebertha,hurricane bertha,#hurricanecristobal,hurricane cristobal,#hurricaneedouard,hurricane edouard,hurricane fay,#hurricanegonzalo,hurricane gonzalo
2014-07-01,16.0,79.0,,,,,,,,,
2014-07-02,144.0,297.0,,,,,,,,,
2014-07-03,2946.0,5854.0,,,,,,,,,
2014-07-04,1631.0,5461.0,,,,,,,,,
2014-07-05,461.0,2032.0,,,,,,,,,
2014-07-06,144.0,665.0,,,,,,,,,
2014-07-07,94.0,367.0,,,,,,,,,
2014-07-08,54.0,236.0,,,,,,,,,
2014-07-09,42.0,142.0,,,,,,,,,
2014-07-10,54.0,179.0,,,,,,,,,
2014-07-11,22.0,69.0,,,,,,,,,
2014-07-12,9.0,16.0,,,,,,,,,
2014-07-13,,18.0,,,,,,,,,
2014-07-14,,21.0,,,,,,,,,
2014-07-15,,17.0,,,,,,,,,
2014-07-16,,,,,,,,,,,
2014-07-17,,,,,,,,,,,
2014-07-18,,,,,,,,,,,
2014-07-19,,,,,,,,,,,
2014-07-20,,,,,,,,,,,
2014-07-21,,,,,,,,,,,
2014-07-22,,,,,,,,,,,
2014-07-23,,,,,,,,,,,
2014-07-24,,,,,,,,,,,
2014-07-25,,,,,,,,,,,
2014-07-26,,,,,,,,,,,
2014-07-27,,,,,,,,,,,
2014-07-28,,,,,,,,,,,
2014-07-29,,,,,,,,,,,
2014-07-30,,,,,,,,,,,
2014-07-31,,,,,,,,,,,
2014-08-01,,,,,,,,,,,
2014-08-02,,,,,,,,,,,
2014-08-03,,,,,,,,,,,
2014-08-04,,,11.0,320.0,,,,,,,
2014-08-05,,,27.0,207.0,,,,,,,
2014-08-06,,,21.0,81.0,,,,,,,
2014-08-07,,,30.0,145.0,,,,,,,
2014-08-08,,,50.0,217.0,,,,,,,
2014-08-09,,,55.0,280.0,,,,,,,
2014-08-10,,,258.0,1691.0,,,,,,,
2014-08-11,,,94.0,443.0,,,,,,,
2014-08-12,,,28.0,120.0,,,,,,,
2014-08-13,,,8.0,31.0,,,,,,,
2014-08-14,,,13.0,26.0,,,,,,,
2014-08-15,,,6.0,0.0,,,,,,,
2014-08-16,,,,24.0,,,,,,,
2014-08-17,,,,0.0,,,,,,,
2014-08-18,,,,0.0,,,,,,,
2014-08-19,,,,0.0,,,,,,,
2014-08-20,,,,0.0,,,,,,,
2014-08-21,,,,0.0,,,,,,,
2014-08-22,,,,0.0,,,,,,,
2014-08-23,,,,0.0,,,,,,,
2014-08-24,,,,0.0,,,,,,,
