,#hurricanealex,hurricane alex,#hurricanecolin,#hurricaneearl,hurricane earl,#hurricanegaston,hurricane gaston,#hurricanehermine,hurricane hermine,#hurricanematthew,hurricane matthew,#hurricanenicole,hurricane nicole,#hurricaneotto,hurricane otto
2016-01-14,126.0,624.0,,,,,,,,,,,,,
2016-01-15,158.0,772.0,,,,,,,,,,,,,
2016-01-16,32.0,205.0,,,,,,,,,,,,,
2016-01-17,5.0,235.0,,,,,,,,,,,,,
2016-01-18,5.0,0.0,,,,,,,,,,,,,
2016-01-19,,0.0,,,,,,,,,,,,,
2016-01-20,,0.0,,,,,,,,,,,,,
2016-01-21,,0.0,,,,,,,,,,,,,
2016-01-22,,0.0,,,,,,,,,,,,,
2016-01-23,,0.0,,,,,,,,,,,,,
2016-01-24,,0.0,,,,,,,,,,,,,
2016-01-25,,0.0,,,,,,,,,,,,,
2016-01-26,,0.0,,,,,,,,,,,,,
2016-01-27,,0.0,,,,,,,,,,,,,
2016-01-28,,0.0,,,,,,,,,,,,,
2016-01-29,,0.0,,,,,,,,,,,,,
2016-01-30,,0.0,,,,,,,,,,,,,
2016-01-31,,0.0,,,,,,,,,,,,,
2016-02-01,,0.0,,,,,,,,,,,,,
2016-02-02,,0.0,,,,,,,,,,,,,
2016-02-03,,0.0,,,,,,,,,,,,,
2016-02-04,,0.0,,,,,,,,,,,,,
2016-02-05,,0.0,,,,,,,,,,,,,
2016-02-06,,0.0,,,,,,,,,,,,,
2016-02-07,,0.0,,,,,,,,,,,,,
2016-02-08,,0.0,,,,,,,,,,,,,
2016-02-09,,0.0,,,,,,,,,,,,,
2016-02-10,,0.0,,,,,,,,,,,,,
2016-02-11,,0.0,,,,,,,,,,,,,
2016-02-12,,0.0,,,,,,,,,,,,,
2016-02-13,,0.0,,,,,,,,,,,,,
2016-02-14,,0.0,,,,,,,,,,,,,
2016-02-15,,0.0,,,,,,,,,,,,,
2016-02-16,,0.0,,,,,,,,,,,,,
2016-02-17,,0.0,,,,,,,,,,,,,
2016-02-18,,0.0,,,,,,,,,,,,,
2016-02-19,,0.0,,,,,,,,,,,,,
2016-02-20,,0.0,,,,,,,,,,,,,
2016-02-21,,0.0,,,,,,,,,,,,,
2016-02-22,,0.0,,,,,,,,,,,,,
2016-02-23,,0.0,,,,,,,,,,,,,
2016-02-24,,0.0,,,,,,,,,,,,,
2016-02-25,,0.0,,,,,,,,,,,,,
2016-02-26,,0.0,,,,,,,,,,,,,
2016-02-27,,0.0,,,,,,,,,,,,,
2016-02-28,,0.0,,,,,,,,,,,,,
2016-02-29,,0.0,,,,,,,,,,,,,
2016-03-01,,0.0,,,,,,,,,,,,,
2016-03-02,,0.0,,,,,,,,,,,,,
2016-03-03,,0.0,,,,,,,,,,,,,
2016-03-04,,0.0,,,,,,,,,,,,,
2016-03-05,,0.0,,,,,,,,,,,,,
2016-03-06,,0.0,,,,,,,,,,,,,
2016-03-07,,0.0,,,,,,,,,,,,,
2016-03-08,,0.0,,,,,,,,,,,,,
2016-03-09,,0.0,,,,,,,,,,,,,
2016-03-10,,0.0,,,,,,,,,,,,,
2016-03-11,,0.0,,,,,,,,,,,,,
2016-03-12,,0.0,,,,,,,,,,,,,
2016-03-13,,0.0,,,,,,,,,,,,,
2016-03-14,,0.0,,,,,,,,,,,,,
2016-03-15,,0.0,,,,,,,,,,,,,
2016-03-16,,0.0,,,,,,,,,,,,,
2016-03-17,,0.0,,,,,,,,,,,,,
2016-03-18,,0.0,,,,,,,,,,,,,
2016-03-19,,0.0,,,,,,,,,,,,,
2016-03-20,,0.0,,,,,,,,,,,,,
2016-03-21,,0.0,,,,,,,,,,,,,
2016-03-22,,0.0,,,,,,,,,,,,,
2016-03-23,,0.0,,,,,,,,,,,,,
2016-03-24,,0.0,,,,,,,,,,,,,
2016-03-25,,0.0,,,,,,,,,,,,,
2016-03-26,,0.0,,,,,,,,,,,,,
2016-03-27,,0.0,,,,,,,,,,,,,
2016-03-28,,0.0,,,,,,,,,,,,,
2016-03-29,,0.0,,,,,,,,,,,,,
2016-03-30,,0.0,,,,,,,,,,,,,
2016-03-31,,0.0,,,,,,,,,,,,,
2016-04-01,,0.0,,,,,,,,,,,,,
2016-04-02,,0.0,,,,,,,,,,,,,
2016-04-03,,0.0,,,,,,,,,,,,,
2016-04-04,,0.0,,,,,,,,,,,,,
2016-04-05,,0.0,,,,,,,,,,,,,
2016-04-06,,0.0,,,,,,,,,,,,,
2016-04-07,,0.0,,,,,,,,,,,,,
2016-04-08,,0.0,,,,,,,,,,,,,
2016-04-09,,0.0,,,,,,,,,,,,,
2016-04-10,,0.0,,,,,,,,,,,,,
2016-04-11,,0.0,,,,,,,,,,,,,
2016-04-12,,0.0,,,,,,,,,,,,,
2016-04-13,,0.0,,,,,,,,,,,,,
2016-04-14,,0.0,,,,,,,,,,,,,
2016-04-15,,0.0,,,,,,,,,,,,,
2016-04-16,,0.0,,,,,,,,,,,,,
2016-04-17,,0.0,,,,,,,,,,,,,
2016-04-18,,0.0,,,,,,,,,,,,,
2016-04-19,,0.0,,,,,,,,,,,,,
2016-04-20,,0.0,,,,,,,,,,,,,
2016-04-21,,0.0,,,,,,,,,,,,,
2016-04-22,,0.0,,,,,,,,,,,,,
2016-04-23,,0.0,,,,,,,,,,,,,
2016-04-24,,0.0,,,,,,,,,,,,,
2016-04-25,,0.0,,,,,,,,,,,,,
2016-04-26,,0.0,,,,,,,,,,,,,
2016-04-27,,0.0,,,,,,,,,,,,,
2016-04-28,,0.0,,,,,,,,,,,,,
2016-04-29,,0.0,,,,,,,,,,,,,
2016-04-30,,0.0,,,,,,,,,,,,,
2016-05-01,,0.0,,,,,,,,,,,,,
2016-05-02,,0.0,,,,,,,,,,,,,
2016-05-03,,0.0,,,,,,,,,,,,,
2016-05-04,,0.0,,,,,,,,,,,,,
2016-05-05,,0.0,,,,,,,,,,,,,
2016-05-06,,0.0,,,,,,,,,,,,,
2016-05-07,,0.0,,,,,,,,,,,,,
2016-05-08,,0.0,,,,,,,,,,,,,
2016-05-09,,0.0,,,,,,,,,,,,,
2016-05-10,,0.0,,,,,,,,,,,,,
2016-05-11,,0.0,,,,,,,,,,,,,
2016-05-12,,0.0,,,,,,,,,,,,,
2016-05-13,,0.0,,,,,,,,,,,,,
2016-05-14,,0.0,,,,,,,,,,,,,
2016-05-15,,0.0,,,,,,,,,,,,,
2016-05-16,,0.0,,,,,,,,,,,,,
2016-05-17,,0.0,,,,,,,,,,,,,
2016-05-18,,0.0,,,,,,,,,,,,,
2016-05-19,,0.0,,,,,,,,,,,,,
2016-05-20,,0.0,,,,,,,,,,,,,
2016-05-21,,0.0,,,,,,,,,,,,,
2016-05-22,,0.0,,,,,,,,,,,,,
2016-05-23,,0.0,,,,,,,,,,,,,
2016-05-24,,0.0,,,,,,,,,,,,,
2016-05-25,,0.0,,,,,,,,,,,,,
2016-05-26,,0.0,,,,,,,,,,,,,
2016-05-27,,0.0,,,,,,,,,,,,,
2016-05-28,,0.0,,,,,,,,,,,,,
2016-05-29,,0.0,,,,,,,,,,,,,
2016-05-30,,0.0,,,,,,,,,,,,,
2016-05-31,,0.0,,,,,,,,,,,,,
2016-06-01,,0.0,,,,,,,,,,,,,
2016-06-02,,0.0,,,,,,,,,,,,,
2016-06-03,,0.0,,,,,,,,,,,,,
2016-06-04,,0.0,,,,,,,,,,,,,
2016-06-05,,0.0,,,,,,,,,,,,,
2016-06-06,,0.0,4.0,,,,,,,,,,,,
2016-06-07,,0.0,4.0,,,,,,,,,,,,
2016-06-08,,0.0,,,,,,,,,,,,,
2016-06-09,,0.0,,,,,,,,,,,,,
2016-06-10,,0.0,,,,,,,,,,,,,
2016-06-11,,0.0,,,,,,,,,,,,,
2016-06-12,,0.0,,,,,,,,,,,,,
2016-06-13,,0.0,,,,,,,,,,,,,
2016-06-14,,0.0,,,,,,,,,,,,,
2016-06-15,,0.0,,,,,,,,,,,,,
2016-06-16,,0.0,,,,,,,,,,,,,
2016-06-17,,0.0,,,,,,,,,,,,,
2016-06-18,,26.0,,,,,,,,,,,,,
2016-06-19,,,,,,,,,,,,,,,
2016-06-20,,,,,,,,,,,,,,,
2016-06-21,,,,,,,,,,,,,,,
2016-06-22,,,,,,,,,,,,,,,
2016-06-23,,,,,,,,,,,,,,,
2016-06-24,,,,,,,,,,,,,,,
2016-06-25,,,,,,,,,,,,,,,
2016-06-26,,,,,,,,,,,,,,,
2016-06-27,,,,,,,,,,,,,,,
2016-06-28,,,,,,,,,,,,,,,
2016-06-29,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,,
2016-07-01,,,,,,,,,,,,,,,
2016-07-02,,,,,,,,,,,,,,,
2016-07-03,,,,,,,,,,,,,,,
2016-07-04,,,,,,,,,,,,,,,
2016-07-05,,,,,,,,,,,,,,,
2016-07-06,,,,,,,,,,,,,,,
2016-07-07,,,,,,,,,,,,,,,
2016-07-08,,,,,,,,,,,,,,,
2016-07-09,,,,,,,,,,,,,,,
2016-07-10,,,,,,,,,,,,,,,
2016-07-11,,,,,,,,,,,,,,,
2016-07-12,,,,,,,,,,,,,,,
2016-07-13,,,,,,,,,,,,,,,
2016-07-14,,,,,,,,,,,,,,,
2016-07-15,,,,,,,,,,,,,,,
2016-07-16,,,,,,,,,,,,,,,
2016-07-17,,,,,,,,,,,,,,,
2016-07-18,,,,,,,,,,,,,,,
2016-07-19,,,,,,,,,,,,,,,
2016-07-20,,,,,,,,,,,,,,,
2016-07-21,,,,,,,,,,,,,,,
2016-07-22,,,,,,,,,,,,,,,
2016-07-23,,,,,,,,,,,,,,,
2016-07-24,,,,,,,,,,,,,,,
2016-07-25,,,,,,,,,,,,,,,
2016-07-26,,,,,,,,,,,,,,,
2016-07-27,,,,,,,,,,,,,,,
2016-07-28,,,,,,,,,,,,,,,
2016-07-29,,,,,,,,,,,,,,,
2016-07-30,,,,,,,,,,,,,,,
2016-07-31,,,,,,,,,,,,,,,
2016-08-01,,,,,,,,,,,,,,,
2016-08-02,,,,,,,,,,,,,,,
2016-08-03,,,,102.0,358.0,,,,,,,,,,
2016-08-04,,,,96.0,875.0,,,,,,,,,,
2016-08-05,,,,17.0,63.0,,,,,,,,,,
2016-08-06,,,,8.0,0.0,,,,,,,,,,
2016-08-07,,,,0.0,61.0,,,,,,,,,,
2016-08-08,,,,8.0,126.0,,,,,,,,,,
2016-08-09,,,,,96.0,,,,,,,,,,
2016-08-10,,,,,58.0,,,,,,,,,,
2016-08-11,,,,,,,,,,,,,,,
2016-08-12,,,,,,,,,,,,,,,
2016-08-13,,,,,,,,,,,,,,,
2016-08-14,,,,,,,,,,,,,,,
2016-08-15,,,,,,,,,,,,,,,
2016-08-16,,,,,,,,,,,,,,,
2016-08-17,,,,,,,,,,,,,,,
2016-08-18,,,,,,,,,,,,,,,
2016-08-19,,,,,,,,,,,,,,,
2016-08-20,,,,,,,,,,,,,,,
2016-08-21,,,,,,,,,,,,,,,
2016-08-22,,,,,,,,,,,,,,,
2016-08-23,,,,,,,,,,,,,,,
2016-08-24,,,,,,,,,,,,,,,
2016-08-25,,,,,,11.0,84.0,,,,,,,,
2016-08-26,,,,,,0.0,0.0,,,,,,,,
2016-08-27,,,,,,0.0,0.0,,,,,,,,
2016-08-28,,,,,,26.0,386.0,,,,,,,,
2016-08-29,,,,,,9.0,128.0,,,,,,,,
2016-08-30,,,,,,19.0,114.0,,,,,,,,
2016-08-31,,,,,,6.0,81.0,,,,,,,,
2016-09-01,,,,,,4.0,75.0,3731.0,2703.0,,,,,,
2016-09-02,,,,,,,,2912.0,3410.0,,,,,,
2016-09-03,,,,,,,,556.0,540.0,,,,,,
2016-09-04,,,,,,,,162.0,273.0,,,,,,
2016-09-05,,,,,,,,254.0,159.0,,,,,,
2016-09-06,,,,,,,,46.0,176.0,,,,,,
2016-09-07,,,,,,,,26.0,135.0,,,,,,
2016-09-08,,,,,,,,16.0,137.0,,,,,,
