,#hurricanecindy,hurricane cindy,#hurricanedon,hurricane don,#hurricanefranklin,hurricane franklin,#hurricanegert,hurricane gert,#hurricaneharvey,hurricane harvey,#hurricaneirma,hurricane irma,#hurricanejose,hurricane jose,#hurricanekatia,hurricane katia,#hurricanelee,hurricane lee,#hurricanemaria,hurricane maria,#hurricanenate,hurricane nate,#hurricaneophelia,hurricane ophelia
2017-06-21,13.0,18.0,,,,,,,,,,,,,,,,,,,,,,
2017-06-22,6.0,24.0,,,,,,,,,,,,,,,,,,,,,,
2017-06-23,,47.0,,,,,,,,,,,,,,,,,,,,,,
2017-06-24,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-25,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-02,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-08,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-09,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-15,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-16,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-17,,,,21.0,,,,,,,,,,,,,,,,,,,,
2017-07-18,,,6.0,,,,,,,,,,,,,,,,,,,,,
2017-07-19,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-20,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-21,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-22,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-23,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-24,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-25,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-26,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-27,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-28,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-29,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-30,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-31,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-01,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-02,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-03,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-04,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-05,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-06,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-07,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-08,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-09,,,0.0,,37.0,190.0,,,,,,,,,,,,,,,,,,
2017-08-10,,,0.0,,18.0,254.0,,,,,,,,,,,,,,,,,,
2017-08-11,,,0.0,,,27.0,,,,,,,,,,,,,,,,,,
2017-08-12,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-13,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-14,,,0.0,,,,5.0,48.0,,,,,,,,,,,,,,,,
2017-08-15,,,0.0,,,,29.0,245.0,,,,,,,,,,,,,,,,
2017-08-16,,,0.0,,,,82.0,220.0,,,,,,,,,,,,,,,,
2017-08-17,,,0.0,,,,33.0,181.0,,,,,,,,,,,,,,,,
2017-08-18,,,0.0,,,,6.0,66.0,,,,,,,,,,,,,,,,
2017-08-19,,,0.0,,,,13.0,56.0,,,,,,,,,,,,,,,,
2017-08-20,,,0.0,,,,17.0,45.0,,,,,,,,,,,,,,,,
2017-08-21,,,0.0,,,,,39.0,,,,,,,,,,,,,,,,
2017-08-22,,,0.0,,,,,19.0,,,,,,,,,,,,,,,,
2017-08-23,,,0.0,,,,,,59.0,102.0,,,,,,,,,,,,,,
2017-08-24,,,0.0,,,,,,11089.0,5498.0,,,,,,,,,,,,,,
2017-08-25,,,4.0,,,,,,51630.0,47558.0,,,,,,,,,,,,,,
2017-08-26,,,,,,,,,54270.0,54937.0,,,,,,,,,,,,,,
2017-08-27,,,,,,,,,79649.0,64340.0,,,,,,,,,,,,,,
2017-08-28,,,,,,,,,78885.0,59249.0,,,,,,,,,,,,,,
2017-08-29,,,,,,,,,70419.0,86799.0,,,,,,,,,,,,,,
2017-08-30,,,,,,,,,48093.0,75609.0,7.0,44.0,,,,,,,,,,,,
2017-08-31,,,,,,,,,28686.0,48630.0,556.0,3074.0,,,,,,,,,,,,
2017-09-01,,,,,,,,,19574.0,29974.0,485.0,3330.0,,,,,,,,,,,,
2017-09-02,,,,,,,,,11545.0,24184.0,399.0,1697.0,,,,,,,,,,,,
2017-09-03,,,,,,,,,7607.0,25593.0,620.0,2455.0,,,,,,,,,,,,
2017-09-04,,,,,,,,,5875.0,11909.0,4752.0,12872.0,,,,,,,,,,,,
2017-09-05,,,,,,,,,5084.0,11586.0,16924.0,66280.0,144.0,382.0,,,,,,,,,,
2017-09-06,,,,,,,,,4482.0,11329.0,30633.0,104869.0,807.0,1009.0,257.0,1066.0,,,,,,,,
2017-09-07,,,,,,,,,5019.0,8601.0,27121.0,74657.0,718.0,1800.0,160.0,269.0,,,,,,,,
2017-09-08,,,,,,,,,3603.0,15577.0,30027.0,62199.0,819.0,3119.0,224.0,1043.0,,,,,,,,
2017-09-09,,,,,,,,,2993.0,14090.0,43343.0,59756.0,611.0,1842.0,137.0,698.0,,,,,,,,
2017-09-10,,,,,,,,,2570.0,4675.0,95136.0,79553.0,967.0,1255.0,40.0,528.0,,,,,,,,
2017-09-11,,,,,,,,,1632.0,3696.0,38834.0,43237.0,419.0,769.0,13.0,110.0,,,,,,,,
