,#hurricanebarry,hurricane barry,#hurricanedorian,hurricane dorian,hurricane erin,#hurricanehumberto,hurricane humberto,#hurricanejerry,hurricane jerry,#hurricaneimelda,#hurricanekaren,hurricane karen,#hurricanelorenzo,hurricane lorenzo,#hurricanepablo,hurricane pablo
2019-07-11,566.0,423.0,,,,,,,,,,,,,,
2019-07-12,640.0,570.0,,,,,,,,,,,,,,
2019-07-13,954.0,2099.0,,,,,,,,,,,,,,
2019-07-14,356.0,1050.0,,,,,,,,,,,,,,
2019-07-15,142.0,280.0,,,,,,,,,,,,,,
2019-07-16,48.0,106.0,,,,,,,,,,,,,,
2019-07-17,26.0,81.0,,,,,,,,,,,,,,
2019-07-18,11.0,38.0,,,,,,,,,,,,,,
2019-07-19,13.0,37.0,,,,,,,,,,,,,,
2019-07-20,4.0,0.0,,,,,,,,,,,,,,
2019-07-21,0.0,0.0,,,,,,,,,,,,,,
2019-07-22,6.0,25.0,,,,,,,,,,,,,,
2019-07-23,0.0,0.0,,,,,,,,,,,,,,
2019-07-24,4.0,22.0,,,,,,,,,,,,,,
2019-07-25,,,,,,,,,,,,,,,,
2019-07-26,,,,,,,,,,,,,,,,
2019-07-27,,,,,,,,,,,,,,,,
2019-07-28,,,,,,,,,,,,,,,,
2019-07-29,,,,,,,,,,,,,,,,
2019-07-30,,,,,,,,,,,,,,,,
2019-07-31,,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,,,
2019-08-02,,,,,,,,,,,,,,,,
2019-08-03,,,,,,,,,,,,,,,,
2019-08-04,,,,,,,,,,,,,,,,
2019-08-05,,,,,,,,,,,,,,,,
2019-08-06,,,,,,,,,,,,,,,,
2019-08-07,,,,,,,,,,,,,,,,
2019-08-08,,,,,,,,,,,,,,,,
2019-08-09,,,,,,,,,,,,,,,,
2019-08-10,,,,,,,,,,,,,,,,
2019-08-11,,,,,,,,,,,,,,,,
2019-08-12,,,,,,,,,,,,,,,,
2019-08-13,,,,,,,,,,,,,,,,
2019-08-14,,,,,,,,,,,,,,,,
2019-08-15,,,,,,,,,,,,,,,,
2019-08-16,,,,,,,,,,,,,,,,
2019-08-17,,,,,,,,,,,,,,,,
2019-08-18,,,,,,,,,,,,,,,,
2019-08-19,,,,,,,,,,,,,,,,
2019-08-20,,,,,,,,,,,,,,,,
2019-08-21,,,,,,,,,,,,,,,,
2019-08-22,,,,,,,,,,,,,,,,
2019-08-23,,,,,,,,,,,,,,,,
2019-08-24,,,,,,,,,,,,,,,,
2019-08-25,,,,,,,,,,,,,,,,
2019-08-26,,,10.0,25.0,,,,,,,,,,,,
2019-08-27,,,1188.0,123.0,,,,,,,,,,,,
2019-08-28,,,3587.0,3471.0,,,,,,,,,,,,
2019-08-29,,,6520.0,13164.0,,,,,,,,,,,,
2019-08-30,,,11532.0,18336.0,,,,,,,,,,,,
2019-08-31,,,9343.0,20910.0,,,,,,,,,,,,
2019-09-01,,,20464.0,28813.0,,,,,,,,,,,,
2019-09-02,,,32829.0,29821.0,,,,,,,,,,,,
2019-09-03,,,22379.0,28240.0,,,,,,,,,,,,
2019-09-04,,,11599.0,21725.0,,,,,,,,,,,,
2019-09-05,,,9666.0,20441.0,,,,,,,,,,,,
