,#hurricanearthur,hurricane arthur,#hurricanebertha,hurricane bertha,#hurricanecristobal,hurricane cristobal,#hurricaneedouard,hurricane edouard,hurricane fay,#hurricanegonzalo,hurricane gonzalo
2014-07-01,13.0,40.0,,,,,,,,,
2014-07-02,111.0,223.0,,,,,,,,,
2014-07-03,1415.0,3538.0,,,,,,,,,
2014-07-04,734.0,3283.0,,,,,,,,,
2014-07-05,245.0,961.0,,,,,,,,,
2014-07-06,76.0,313.0,,,,,,,,,
2014-07-07,60.0,240.0,,,,,,,,,
2014-07-08,43.0,185.0,,,,,,,,,
2014-07-09,35.0,128.0,,,,,,,,,
2014-07-10,48.0,173.0,,,,,,,,,
2014-07-11,19.0,65.0,,,,,,,,,
2014-07-12,8.0,15.0,,,,,,,,,
2014-07-13,,15.0,,,,,,,,,
2014-07-14,,18.0,,,,,,,,,
2014-07-15,,13.0,,,,,,,,,
2014-07-16,,,,,,,,,,,
2014-07-17,,,,,,,,,,,
2014-07-18,,,,,,,,,,,
2014-07-19,,,,,,,,,,,
2014-07-20,,,,,,,,,,,
2014-07-21,,,,,,,,,,,
2014-07-22,,,,,,,,,,,
2014-07-23,,,,,,,,,,,
2014-07-24,,,,,,,,,,,
2014-07-25,,,,,,,,,,,
2014-07-26,,,,,,,,,,,
2014-07-27,,,,,,,,,,,
2014-07-28,,,,,,,,,,,
2014-07-29,,,,,,,,,,,
2014-07-30,,,,,,,,,,,
2014-07-31,,,,,,,,,,,
2014-08-01,,,,,,,,,,,
2014-08-02,,,,,,,,,,,
2014-08-03,,,,,,,,,,,
2014-08-04,,,7.0,256.0,,,,,,,
2014-08-05,,,17.0,127.0,,,,,,,
2014-08-06,,,11.0,51.0,,,,,,,
2014-08-07,,,14.0,54.0,,,,,,,
2014-08-08,,,29.0,150.0,,,,,,,
2014-08-09,,,44.0,175.0,,,,,,,
2014-08-10,,,164.0,513.0,,,,,,,
2014-08-11,,,58.0,163.0,,,,,,,
2014-08-12,,,19.0,76.0,,,,,,,
2014-08-13,,,7.0,17.0,,,,,,,
2014-08-14,,,11.0,9.0,,,,,,,
2014-08-15,,,1.0,0.0,,,,,,,
2014-08-16,,,,4.0,,,,,,,
2014-08-17,,,,0.0,,,,,,,
2014-08-18,,,,0.0,,,,,,,
2014-08-19,,,,0.0,,,,,,,
2014-08-20,,,,0.0,,,,,,,
2014-08-21,,,,0.0,,,,,,,
2014-08-22,,,,0.0,,,,,,,
2014-08-23,,,,0.0,,,,,,,
2014-08-24,,,,0.0,,,,,,,
2014-08-25,,,,0.0,3.0,52.0,,,,,
2014-08-26,,,,0.0,7.0,354.0,,,,,
2014-08-27,,,,0.0,13.0,323.0,,,,,
2014-08-28,,,,0.0,15.0,230.0,,,,,
2014-08-29,,,,0.0,11.0,273.0,,,,,
2014-08-30,,,,0.0,10.0,34.0,,,,,
2014-08-31,,,,0.0,14.0,19.0,,,,,
2014-09-01,,,,0.0,11.0,25.0,,,,,
2014-09-02,,,,0.0,5.0,24.0,,,,,
2014-09-03,,,,0.0,12.0,18.0,,,,,
2014-09-04,,,,0.0,0.0,,,,,,
2014-09-05,,,,0.0,4.0,,,,,,
2014-09-06,,,,0.0,,,,,,,
2014-09-07,,,,0.0,,,,,,,
