,#hurricaneberyl,hurricane beryl,#hurricanechris,hurricane chris,#hurricaneflorence,hurricane florence,#hurricanegordon,hurricane gordon,#hurricanehelene,hurricane helene,#hurricaneisaac,hurricane isaac,#hurricaneleslie,hurricane leslie,#hurricanemichael,hurricane michael,#hurricaneoscar,hurricane oscar
2018-07-06,50.0,176.0,,,,,,,,,,,,,,,,
2018-07-07,16.0,115.0,,6.0,,,,,,,,,,,,,,
2018-07-08,5.0,23.0,5.0,68.0,,,,,,,,,,,,,,
2018-07-09,2.0,0.0,11.0,91.0,,,,,,,,,,,,,,
2018-07-10,,0.0,60.0,109.0,,,,,,,,,,,,,,
2018-07-11,,2.0,46.0,296.0,,,,,,,,,,,,,,
2018-07-12,,2.0,13.0,72.0,,,,,,,,,,,,,,
2018-07-13,,,3.0,16.0,,,,,,,,,,,,,,
2018-07-14,,,0.0,8.0,,,,,,,,,,,,,,
2018-07-15,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-16,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-17,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-18,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-19,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-20,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-21,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-22,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-23,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-24,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-25,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-26,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-27,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-28,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-29,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-30,,,0.0,0.0,,,,,,,,,,,,,,
2018-07-31,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-01,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-02,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-03,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-04,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-05,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-06,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-07,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-08,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-09,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-10,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-11,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-12,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-13,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-14,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-15,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-16,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-17,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-18,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-19,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-20,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-21,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-22,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-23,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-24,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-25,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-26,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-27,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-28,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-29,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-30,,,0.0,0.0,,,,,,,,,,,,,,
2018-08-31,,,0.0,0.0,,,,,,,,,,,,,,
2018-09-01,,,0.0,0.0,,,,,,,,,,,,,,
2018-09-02,,,0.0,0.0,,,,,,,,,,,,,,
2018-09-03,,,0.0,0.0,,,24.0,30.0,,,,,,,,,,
2018-09-04,,,0.0,0.0,10.0,41.0,90.0,98.0,,,,,,,,,,
2018-09-05,,,0.0,0.0,34.0,225.0,27.0,34.0,,,,,,,,,,
2018-09-06,,,0.0,0.0,59.0,290.0,2.0,,,,,,,,,,,
2018-09-07,,,0.0,0.0,48.0,104.0,1.0,,,,,,,,,,,
2018-09-08,,,0.0,0.0,91.0,137.0,2.0,,,,,,,,,,,
2018-09-09,,,0.0,0.0,345.0,587.0,0.0,,8.0,15.0,8.0,14.0,,,,,,
2018-09-10,,,0.0,0.0,2107.0,3743.0,4.0,,15.0,21.0,21.0,70.0,,,,,,
2018-09-11,,,0.0,0.0,3047.0,5234.0,,,9.0,24.0,8.0,14.0,,,,,,
2018-09-12,,,0.0,0.0,3617.0,7211.0,,,5.0,41.0,2.0,5.0,,,,,,
2018-09-13,,,0.0,0.0,3823.0,6655.0,,,7.0,35.0,6.0,13.0,,,,,,
2018-09-14,,,0.0,0.0,3831.0,6432.0,,,2.0,33.0,2.0,,,,,,,
2018-09-15,,,0.0,0.0,1478.0,2525.0,,,3.0,12.0,0.0,,,,,,,
2018-09-16,,,0.0,0.0,991.0,1522.0,,,1.0,,0.0,,,,,,,
2018-09-17,,,0.0,0.0,1009.0,1817.0,,,2.0,,1.0,,,,,,,
2018-09-18,,,0.0,0.0,664.0,1540.0,,,,,,,,,,,,
2018-09-19,,,0.0,0.0,671.0,1581.0,,,,,,,,,,,,
2018-09-20,,,0.0,0.0,431.0,990.0,,,,,,,,,,,,
2018-09-21,,,0.0,0.0,324.0,704.0,,,,,,,,,,,,
2018-09-22,,,0.0,0.0,177.0,420.0,,,,,,,,,,,,
2018-09-23,,,0.0,0.0,126.0,390.0,,,,,,,,,,,,
2018-09-24,,,0.0,0.0,154.0,543.0,,,,,,,,,,,,
2018-09-25,,,0.0,0.0,144.0,461.0,,,,,,,,,,,,
2018-09-26,,,0.0,0.0,138.0,354.0,,,,,,,,,,,,
2018-09-27,,,0.0,0.0,108.0,310.0,,,,,,,,,,,,
2018-09-28,,,0.0,0.0,76.0,234.0,,,,,,,,,,,,
2018-09-29,,,0.0,0.0,47.0,171.0,,,,,,,,,,,,
2018-09-30,,,0.0,0.0,27.0,149.0,,,,,,,,,,,,
2018-10-01,,,0.0,0.0,58.0,181.0,,,,,,,,,,,,
