,#hurricanebarry,hurricane barry,#hurricanedorian,hurricane dorian,hurricane erin,#hurricanehumberto,hurricane humberto,#hurricanejerry,hurricane jerry,#hurricaneimelda,#hurricanekaren,hurricane karen,#hurricanelorenzo,hurricane lorenzo,#hurricanepablo,hurricane pablo
2019-07-11,146.0,96.0,,,,,,,,,,,,,,
2019-07-12,145.0,143.0,,,,,,,,,,,,,,
2019-07-13,245.0,555.0,,,,,,,,,,,,,,
2019-07-14,55.0,172.0,,,,,,,,,,,,,,
2019-07-15,39.0,82.0,,,,,,,,,,,,,,
2019-07-16,13.0,51.0,,,,,,,,,,,,,,
2019-07-17,10.0,39.0,,,,,,,,,,,,,,
2019-07-18,3.0,21.0,,,,,,,,,,,,,,
2019-07-19,4.0,15.0,,,,,,,,,,,,,,
2019-07-20,1.0,0.0,,,,,,,,,,,,,,
2019-07-21,0.0,0.0,,,,,,,,,,,,,,
2019-07-22,1.0,10.0,,,,,,,,,,,,,,
2019-07-23,0.0,0.0,,,,,,,,,,,,,,
2019-07-24,3.0,7.0,,,,,,,,,,,,,,
2019-07-25,,,,,,,,,,,,,,,,
2019-07-26,,,,,,,,,,,,,,,,
2019-07-27,,,,,,,,,,,,,,,,
2019-07-28,,,,,,,,,,,,,,,,
2019-07-29,,,,,,,,,,,,,,,,
2019-07-30,,,,,,,,,,,,,,,,
2019-07-31,,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,,,
2019-08-02,,,,,,,,,,,,,,,,
2019-08-03,,,,,,,,,,,,,,,,
2019-08-04,,,,,,,,,,,,,,,,
2019-08-05,,,,,,,,,,,,,,,,
2019-08-06,,,,,,,,,,,,,,,,
2019-08-07,,,,,,,,,,,,,,,,
2019-08-08,,,,,,,,,,,,,,,,
2019-08-09,,,,,,,,,,,,,,,,
2019-08-10,,,,,,,,,,,,,,,,
2019-08-11,,,,,,,,,,,,,,,,
2019-08-12,,,,,,,,,,,,,,,,
2019-08-13,,,,,,,,,,,,,,,,
2019-08-14,,,,,,,,,,,,,,,,
2019-08-15,,,,,,,,,,,,,,,,
2019-08-16,,,,,,,,,,,,,,,,
2019-08-17,,,,,,,,,,,,,,,,
2019-08-18,,,,,,,,,,,,,,,,
2019-08-19,,,,,,,,,,,,,,,,
2019-08-20,,,,,,,,,,,,,,,,
2019-08-21,,,,,,,,,,,,,,,,
2019-08-22,,,,,,,,,,,,,,,,
2019-08-23,,,,,,,,,,,,,,,,
2019-08-24,,,,,,,,,,,,,,,,
2019-08-25,,,,,,,,,,,,,,,,
2019-08-26,,,10.0,4.0,,,,,,,,,,,,
2019-08-27,,,158.0,52.0,,,,,,,,,,,,
2019-08-28,,,786.0,769.0,,,,,,,,,,,,
2019-08-29,,,1558.0,2486.0,,,,,,,,,,,,
2019-08-30,,,1754.0,3815.0,,,,,,,,,,,,
2019-08-31,,,1154.0,2448.0,,,,,,,,,,,,
2019-09-01,,,2262.0,3826.0,,,,,,,,,,,,
2019-09-02,,,3021.0,4844.0,,,,,,,,,,,,
2019-09-03,,,1997.0,4308.0,,,,,,,,,,,,
2019-09-04,,,1584.0,3802.0,,,,,,,,,,,,
2019-09-05,,,1659.0,3700.0,,,,,,,,,,,,
2019-09-06,,,827.0,2856.0,,,,,,,,,,,,
2019-09-07,,,549.0,1759.0,,,,,,,,,,,,
2019-09-08,,,324.0,1005.0,,,,,,,,,,,,
2019-09-09,,,307.0,1118.0,,,,,,,,,,,,
2019-09-10,,,171.0,833.0,,,,,,,,,,,,
2019-09-11,,,136.0,572.0,1.0,,,,,,,,,,,
2019-09-12,,,113.0,511.0,0.0,,,,,,,,,,,
2019-09-13,,,86.0,367.0,0.0,,,,,,,,,,,
2019-09-14,,,50.0,211.0,0.0,3.0,,,,,,,,,,
2019-09-15,,,52.0,132.0,0.0,4.0,18.0,,,,,,,,,
2019-09-16,,,52.0,183.0,0.0,26.0,91.0,,,,,,,,,
2019-09-17,,,40.0,122.0,0.0,19.0,111.0,,,,,,,,,
2019-09-18,,,28.0,134.0,0.0,60.0,131.0,3.0,,,,,,,,
2019-09-19,,,23.0,106.0,0.0,23.0,95.0,10.0,64.0,6.0,,,,,,
2019-09-20,,,30.0,87.0,0.0,3.0,13.0,18.0,70.0,3.0,,,,,,
2019-09-21,,,17.0,53.0,0.0,0.0,0.0,4.0,,,,,,,,
2019-09-22,,,17.0,56.0,0.0,3.0,14.0,,,,6.0,17.0,,,,
2019-09-23,,,30.0,77.0,0.0,,,,,,0.0,0.0,,,,
2019-09-24,,,21.0,66.0,0.0,,,,,,2.0,11.0,,,,
2019-09-25,,,29.0,59.0,0.0,,,,,,,,1.0,26.0,,
2019-09-26,,,12.0,61.0,0.0,,,,,,,,14.0,57.0,,
2019-09-27,,,11.0,58.0,0.0,,,,,,,,13.0,72.0,,
2019-09-28,,,11.0,45.0,0.0,,,,,,,,16.0,78.0,,
2019-09-29,,,10.0,36.0,0.0,,,,,,,,74.0,264.0,,
2019-09-30,,,13.0,50.0,0.0,,,,,,,,45.0,189.0,,
2019-10-01,,,15.0,47.0,0.0,,,,,,,,43.0,162.0,,
2019-10-02,,,16.0,51.0,0.0,,,,,,,,44.0,152.0,,
2019-10-03,,,12.0,62.0,0.0,,,,,,,,36.0,80.0,,
2019-10-04,,,12.0,63.0,0.0,,,,,,,,7.0,29.0,,
2019-10-05,,,10.0,44.0,0.0,,,,,,,,3.0,,,
2019-10-06,,,3.0,65.0,0.0,,,,,,,,2.0,,,
