,hurricane beryl,#hurricanechris,hurricane chris,#hurricanedebby,hurricane debby,#hurricaneernesto,hurricane ernesto,hurricane gordon,#hurricaneisaac,hurricane isaac,hurricane kirk,#hurricaneleslie,hurricane leslie,#hurricanemichael,hurricane michael,hurricane nadine,#hurricanerafael,hurricane rafael,#hurricanesandy,hurricane sandy
2012-05-27,7.639478752958285e-08,,,,,,,,,,,,,,,,,,,
2012-05-28,,,,,,,,,,,,,,,,,,,,
2012-05-29,,,,,,,,,,,,,,,,,,,,
2012-05-30,,,,,,,,,,,,,,,,,,,,
2012-05-31,,,,,,,,,,,,,,,,,,,,
2012-06-01,,,,,,,,,,,,,,,,,,,,
2012-06-02,,,,,,,,,,,,,,,,,,,,
2012-06-03,,,,,,,,,,,,,,,,,,,,
2012-06-04,,,,,,,,,,,,,,,,,,,,
2012-06-05,,,,,,,,,,,,,,,,,,,,
2012-06-06,,,,,,,,,,,,,,,,,,,,
2012-06-07,,,,,,,,,,,,,,,,,,,,
2012-06-08,,,,,,,,,,,,,,,,,,,,
2012-06-09,,,,,,,,,,,,,,,,,,,,
2012-06-10,,,,,,,,,,,,,,,,,,,,
2012-06-11,,,,,,,,,,,,,,,,,,,,
2012-06-12,,,,,,,,,,,,,,,,,,,,
2012-06-13,,,,,,,,,,,,,,,,,,,,
2012-06-14,,,,,,,,,,,,,,,,,,,,
2012-06-15,,,,,,,,,,,,,,,,,,,,
2012-06-16,,,,,,,,,,,,,,,,,,,,
2012-06-17,,,,,,,,,,,,,,,,,,,,
2012-06-18,,,1.6658614582279812e-07,,,,,,,,,,,,,,,,,
2012-06-19,,,1.3864088769714244e-07,,,,,,,,,,,,,,,,,
2012-06-20,,,3.2071198138812654e-07,,,,,,,,,,,,,,,,,
2012-06-21,,2.8651009205297072e-08,7.062927815264081e-07,,,,,,,,,,,,,,,,,
2012-06-22,,,3.0439997840586555e-07,,,,,,,,,,,,,,,,,
2012-06-23,,,1.4437805845064844e-07,,9.2401957408415e-08,,,,,,,,,,,,,,,
2012-06-24,,1.9508495930469224e-08,8.960899709752769e-08,6.340261177402497e-08,4.2168939810601263e-07,,,,,,,,,,,,,,,
2012-06-25,,,2.7503312636490503e-07,6.951683882982973e-08,2.8003372866244877e-07,,,,,,,,,,,,,,,
2012-06-26,,,1.9900313657301188e-07,3.689570173145763e-08,2.835794696165419e-07,,,,,,,,,,,,,,,
2012-06-27,,,2.0041000171433648e-07,,6.843268351221246e-08,,,,,,,,,,,,,,,
2012-06-28,,,1.7361166285728117e-07,,,,,,,,,,,,,,,,,
2012-06-29,,,1.079697672929148e-07,,,,,,,,,,,,,,,,,
2012-06-30,,,1.5657801258738472e-07,,,,,,,,,,,,,,,,,
2012-07-01,,,3.4596658041376967e-07,,,,,,,,,,,,,,,,,
2012-07-02,,,7.550263880967613e-08,,,,,,,,,,,,,,,,,
2012-07-03,,,1.7113909927770592e-07,,,,,,,,,,,,,,,,,
2012-07-04,,,1.2433987621835576e-07,,,,,,,,,,,,,,,,,
2012-07-05,,,1.2963833921339997e-07,,,,,,,,,,,,,,,,,
2012-07-06,,,1.5448136170487848e-06,,,,,,,,,,,,,,,,,
2012-07-07,,,1.394775477472693e-06,,,,,,,,,,,,,,,,,
2012-07-08,,,2.0055187548434927e-07,,,,,,,,,,,,,,,,,
2012-07-09,,,3.387192841253346e-07,,,,,,,,,,,,,,,,,
2012-07-10,,,2.10498626846475e-07,,,,,,,,,,,,,,,,,
2012-07-11,,,9.66458642081634e-08,,,,,,,,,,,,,,,,,
2012-07-12,,,1.2119648407448385e-07,,,,,,,,,,,,,,,,,
2012-07-13,,,2.2234979373190777e-07,,,,,,,,,,,,,,,,,
2012-07-14,,,1.0680895688444524e-07,,,,,,,,,,,,,,,,,
2012-07-15,,,1.4708414764983327e-07,,,,,,,,,,,,,,,,,
2012-07-16,,,1.0699066760771119e-07,,,,,,,,,,,,,,,,,
2012-07-17,,,1.542501014905414e-07,,,,,,,,,,,,,,,,,
2012-07-18,,,1.728962453323329e-07,,,,,,,,,,,,,,,,,
2012-07-19,,,1.330116598353541e-07,,,,,,,,,,,,,,,,,
2012-07-20,,,,,,,,,,,,,,,,,,,,
2012-07-21,,,1.306002716072082e-07,,,,,,,,,,,,,,,,,
2012-07-22,,,1.1152938177940536e-07,,,,,,,,,,,,,,,,,
2012-07-23,,,7.910868633990806e-08,,,,,,,,,,,,,,,,,
2012-07-24,,,1.8038790253785936e-07,,,,,,,,,,,,,,,,,
2012-07-25,,,1.0670267365399692e-07,,,,,,,,,,,,,,,,,
2012-07-26,,,1.566706955631041e-07,,,,,,,,,,,,,,,,,
2012-07-27,,,,,,,,,,,,,,,,,,,,
2012-07-28,,,1.6304082973347786e-07,,,,,,,,,,,,,,,,,
2012-07-29,,,9.78956979663395e-08,,,,,,,,,,,,,,,,,
2012-07-30,,,1.7026517825940448e-07,,,,,,,,,,,,,,,,,
2012-07-31,,,1.234386989241753e-06,,,,,,,,,,,,,,,,,
2012-08-01,,,6.308291375060911e-07,,,,,,,,,,,,,,,,,
2012-08-02,,,2.063623539836264e-07,,,,,,,,,,,,,,,,,
2012-08-03,,,,,,,,,,,,,,,,,,,,
2012-08-04,,,1.205498435603715e-07,,,2.4251776550552734e-08,,,,,,,,,,,,,,
2012-08-05,,,1.0793801424031128e-07,,,1.817254704393129e-08,,,,,,,,,,,,,,
2012-08-06,,,1.0763012613277432e-07,,,,7.95527019242245e-08,,,,,,,,,,,,,
2012-08-07,,,2.8166446522030273e-07,,,,1.0250739553919213e-06,,,,,,,,,,,,,
2012-08-08,,,,,,5.5908330671129145e-08,,,,,,,,,,,,,,
2012-08-09,,,8.256704350417379e-07,,,,1.505365986540185e-07,,,,,,,,,,,,,
2012-08-10,,,,,,,,,,,,,,,,,,,,
2012-08-11,,,1.7746353324038385e-07,,,,,,,,,,,,,,,,,
2012-08-12,,,,,,,,,,,,,,,,,,,,
2012-08-13,,,1.4455545899561767e-07,,,,,,,,,,,,,,,,,
2012-08-14,,,,,,,,,,,,,,,,,,,,
2012-08-15,,,,,,,,,,,,,,,,,,,,
2012-08-16,,,,,,,,,,,,,,,,,,,,
2012-08-17,,,,,,,,,,,,,,,,,,,,
2012-08-18,,,1.2541327080700224e-07,,,,,5.289168377512703e-07,,,,,,,,,,,,
2012-08-19,,,4.0642579609121763e-07,,,,,1.4068585249311377e-06,,,,,,,,,,,,
2012-08-20,,,1.2605422175805826e-07,,,,,7.126911768628678e-07,,,,,,,,,,,,
2012-08-21,,,1.0667101677537987e-07,,,,,,2.6977871037080575e-08,2.7637490709984786e-07,,,,,,,,,,
2012-08-22,,,3.3342580342281594e-07,,,,,,1.2545526314826156e-07,2.3726386881246757e-06,,,,,,,,,,
2012-08-23,,,8.112912732385199e-08,,,,,,3.053398118358013e-07,3.4169679508163543e-06,,,,,,,,,,
2012-08-24,,,1.0265574729801348e-07,,,,,,5.281695091805925e-07,2.581792044545039e-06,,,,,,,,,,
2012-08-25,,,1.591950774250035e-07,,,,,,9.282793450895901e-07,4.69094828145677e-06,,,,,,,,,,
2012-08-26,,,4.335792655694434e-07,,,,,,1.988644593073532e-06,1.41800127989643e-05,,,,,,,,,,
2012-08-27,,,3.3051464610523387e-07,,,,,,2.4907250892584895e-06,1.603482084560539e-05,,,,,,,,,,
2012-08-28,,,6.905072361199437e-07,,,,,,4.364800538447951e-06,3.136283866456784e-05,,,,,,,,,,
2012-08-29,,4.63330214559377e-08,7.478469418557887e-07,,,,,,6.158079760780083e-06,3.8353217102931414e-05,,,,,,,,,,
2012-08-30,,,1.5104104853904224e-07,,,,,,1.6136729950697336e-06,1.0030069629545774e-05,7.599252754620563e-07,,,,,,,,,
2012-08-31,,,6.919443424485534e-08,,,,,,5.870946415367532e-07,8.767923310740954e-06,4.794185801250692e-07,,,,,,,,,
2012-09-01,,,1.1375595310756238e-07,,,,,,2.9688724734715685e-07,6.4065284500122626e-06,,,,,,,,,,
2012-09-02,,,1.4075127824530047e-07,,,,,,1.8619579302242903e-07,3.885740645843474e-06,,,,,,,,,,
2012-09-03,,,1.16582924996198e-07,,,,,,1.5985435177485573e-07,2.8492866869070793e-06,,,,,,,,,,
2012-09-04,,,8.993201655474241e-08,,,,,,1.2736061583934615e-07,3.161820371503575e-06,8.99320165547424e-07,,,,,,,,,
2012-09-05,,,1.2976854338414732e-07,,,,,,1.0257110713014311e-07,3.2874697657317325e-06,,3.567690682787586e-08,6.632614439634197e-07,,,,,,,
2012-09-06,,,8.643034723428393e-08,,,,,,9.284058088123283e-08,2.2926786845304792e-06,,5.486034324800122e-08,1.3510427962411751e-06,,8.643034723428393e-07,,,,,
2012-09-07,,,9.892155392175985e-08,,,,,,1.0698455275515281e-07,1.7805879705916772e-06,,5.094502512150134e-08,1.5332840857872775e-06,,3.791992900334127e-07,,,,,
2012-09-08,,,6.451152166100138e-08,,,,,,8.456084551016555e-08,5.752277348105955e-07,,5.471584121246006e-08,2.311662859519216e-07,,2.4191820622875516e-07,,,,,
2012-09-09,,,9.959724014340182e-08,,,,,,2.633299935921718e-08,4.1261713773695036e-07,,,1.7548085168123178e-07,,2.987917204302054e-07,,,,,
2012-09-10,,,8.485594981243765e-08,,,,,,6.015303756390155e-08,3.84347537385747e-07,,6.015303756390155e-08,2.5456784943731296e-07,,3.793560109261919e-07,,,,,
2012-09-11,,,8.005167455670148e-08,,,,,,9.751230824732776e-08,4.903165066597965e-07,,1.3465985424630973e-07,1.551001194536091e-07,,,,,,,
2012-09-12,,,8.952474001269461e-08,,,,,,6.460280754203446e-08,3.6307255671815036e-07,,1.8457945012009846e-08,,,,,,,,
2012-09-13,,,6.779010726866701e-08,,,,,,5.8030303801842295e-08,8.864860181287225e-07,,,,,,,,,,
2012-09-14,,,6.874687570513886e-08,,,,,,3.184795024203646e-08,4.353968794658794e-07,,,,,,,,,,
2012-09-15,,,7.33428148667691e-08,,,,,,5.217958101643601e-08,3.102965244363309e-07,,,,,,6.939358637394309e-07,,,,
2012-09-16,,,7.602986021439765e-08,,,,,,3.517047109755751e-08,1.1879665658499633e-07,,,,,,3.849011673353881e-07,,,,
2012-09-17,,,6.43785818757296e-08,,,,,,2.2951682173771814e-08,2.822753205320452e-07,,,,,,,,,,
2012-09-18,,,1.130637221386471e-07,,,,,,,2.654539563255193e-07,,,,,,,,,,
2012-09-19,,,8.746908340931395e-08,,,,,,2.8620535276992045e-08,2.3668104922520247e-07,,,,,,,,,,
2012-09-20,,,,,,,,,,2.6036105923981124e-07,,,,,,,,,,
2012-09-21,,,7.301506318164722e-08,,,,,,,1.741128429716203e-07,,,,,,,,,,
2012-09-22,,,7.112947627984895e-08,,,,,,,1.367874543843249e-07,,,,,,,,,,
2012-09-23,,,8.057746628025e-08,,,,,,,7.109776436492647e-08,,,,,,,,,,
2012-09-24,,,7.026158599249765e-08,,,,,,,1.5056054141249496e-07,,,,,,,,,,
2012-09-25,,,1.262385969369699e-07,,,,,,,2.0703129897663065e-07,,,,,,,,,,
2012-09-26,,,7.531022200855987e-08,,,,,,3.2583333271269844e-08,1.2049635521369578e-07,,,,,,,,,,
2012-09-27,,,1.0594569350885568e-07,,,,,,2.946297858397959e-08,6.886470078075619e-08,,,,,,,,,,
2012-09-28,,,,,,,,,3.1787454330964364e-08,1.6588883394536303e-07,,,,,,3.6037919098475413e-07,,,,
2012-09-29,,,2.3325828507187017e-07,,,,,,5.135527785097759e-08,1.2773667992030987e-07,,,,,,2.610271285328071e-07,,,,
2012-09-30,,,1.1560481977880549e-07,,,,,,3.564844431080239e-08,7.706987985253699e-08,,,,,,3.2754698937328226e-07,,,,
2012-10-01,,,1.437020692587583e-07,,,,,,3.215793020462123e-08,1.1892585042104136e-07,,,,,,7.432865651315085e-08,,,,
2012-10-02,,,,,,,,,,9.958872396514855e-08,,,,,,,,,,
2012-10-03,,,1.4882170549963127e-07,,,,,,2.0961112625248726e-08,9.921447033308752e-08,,,,,,,,,,
2012-10-04,,,1.0696291915412054e-07,,,,,,2.976277712425609e-08,1.1765921106953261e-07,,,,,,,,,,
2012-10-05,,,7.986469323671836e-08,,,,,,3.700199419076091e-08,6.845545134575859e-08,,,,,,,,,,
