,#hurricanebarry,hurricane barry,#hurricanedorian,hurricane dorian,hurricane erin,#hurricanehumberto,hurricane humberto,#hurricanejerry,hurricane jerry,#hurricaneimelda,#hurricanekaren,hurricane karen,#hurricanelorenzo,hurricane lorenzo,#hurricanepablo,hurricane pablo
2019-07-11,2.4138412420368082e-06,1.8917376096966875e-06,,,,,,,,,,,,,,
2019-07-12,3.03831377763023e-06,2.8396192040756605e-06,,,,,,,,,,,,,,
2019-07-13,3.856428435584465e-06,8.900254982340688e-06,,,,,,,,,,,,,,
2019-07-14,1.3471002488430934e-06,4.164981716702094e-06,,,,,,,,,,,,,,
2019-07-15,5.137124857794346e-07,1.0601828267867504e-06,,,,,,,,,,,,,,
2019-07-16,1.7042959047122194e-07,3.9397265692242203e-07,,,,,,,,,,,,,,
2019-07-17,9.323653864930112e-08,3.041909079906325e-07,,,,,,,,,,,,,,
2019-07-18,3.925481331725823e-08,1.4196110994819227e-07,,,,,,,,,,,,,,
2019-07-19,4.748765189546451e-08,1.416298355727371e-07,,,,,,,,,,,,,,
2019-07-20,1.5746183675209422e-08,,,,,,,,,,,,,,,
2019-07-21,,,,,,,,,,,,,,,,
2019-07-22,2.2138243991387248e-08,9.667038801258729e-08,,,,,,,,,,,,,,
2019-07-23,,,,,,,,,,,,,,,,
2019-07-24,1.4177165350856187e-08,8.159450619145789e-08,,,,,,,,,,,,,,
2019-07-25,,,,,,,,,,,,,,,,
2019-07-26,,,,,,,,,,,,,,,,
2019-07-27,,,,,,,,,,,,,,,,
2019-07-28,,,,,,,,,,,,,,,,
2019-07-29,,,,,,,,,,,,,,,,
2019-07-30,,,,,,,,,,,,,,,,
2019-07-31,,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,,,
2019-08-02,,,,,,,,,,,,,,,,
2019-08-03,,,,,,,,,,,,,,,,
2019-08-04,,,,,,,,,,,,,,,,
2019-08-05,,,,,,,,,,,,,,,,
2019-08-06,,,,,,,,,,,,,,,,
2019-08-07,,,,,,,,,,,,,,,,
2019-08-08,,,,,,,,,,,,,,,,
2019-08-09,,,,,,,,,,,,,,,,
2019-08-10,,,,,,,,,,,,,,,,
2019-08-11,,,,,,,,,,,,,,,,
2019-08-12,,,,,,,,,,,,,,,,
2019-08-13,,,,,,,,,,,,,,,,
2019-08-14,,,,,,,,,,,,,,,,
2019-08-15,,,,,,,,,,,,,,,,
2019-08-16,,,,,,,,,,,,,,,,
2019-08-17,,,,,,,,,,,,,,,,
