,hurricane beryl,#hurricanechris,hurricane chris,#hurricanedebby,hurricane debby,#hurricaneernesto,hurricane ernesto,hurricane gordon,#hurricaneisaac,hurricane isaac,hurricane kirk,#hurricaneleslie,hurricane leslie,#hurricanemichael,hurricane michael,hurricane nadine,#hurricanerafael,hurricane rafael,#hurricanesandy,hurricane sandy
2012-05-27,6.951744621126703e-08,,,,,,,,,,,,,,,,,,,
2012-05-28,,,,,,,,,,,,,,,,,,,,
2012-05-29,,,,,,,,,,,,,,,,,,,,
2012-05-30,,,,,,,,,,,,,,,,,,,,
2012-05-31,,,,,,,,,,,,,,,,,,,,
2012-06-01,,,,,,,,,,,,,,,,,,,,
2012-06-02,,,,,,,,,,,,,,,,,,,,
2012-06-03,,,,,,,,,,,,,,,,,,,,
2012-06-04,,,,,,,,,,,,,,,,,,,,
2012-06-05,,,,,,,,,,,,,,,,,,,,
2012-06-06,,,,,,,,,,,,,,,,,,,,
2012-06-07,,,,,,,,,,,,,,,,,,,,
2012-06-08,,,,,,,,,,,,,,,,,,,,
2012-06-09,,,,,,,,,,,,,,,,,,,,
2012-06-10,,,,,,,,,,,,,,,,,,,,
2012-06-11,,,,,,,,,,,,,,,,,,,,
2012-06-12,,,,,,,,,,,,,,,,,,,,
2012-06-13,,,,,,,,,,,,,,,,,,,,
2012-06-14,,,,,,,,,,,,,,,,,,,,
2012-06-15,,,,,,,,,,,,,,,,,,,,
2012-06-16,,,,,,,,,,,,,,,,,,,,
2012-06-17,,,,,,,,,,,,,,,,,,,,
2012-06-18,,,1.6592901790423127e-07,,,,,,,,,,,,,,,,,
2012-06-19,,,1.3554614846261204e-07,,,,,,,,,,,,,,,,,
2012-06-20,,,2.5112050523377603e-07,,,,,,,,,,,,,,,,,
2012-06-21,,3.5269273141192915e-08,7.226228657785299e-07,,,,,,,,,,,,,,,,,
2012-06-22,,0.0,3.03998378959044e-07,,,,,,,,,,,,,,,,,
2012-06-23,,0.0,1.892053106903426e-07,,1.0320289674018686e-07,,,,,,,,,,,,,,,
2012-06-24,,7.284997752068244e-09,9.5452337251498e-08,6.55649797686142e-08,5.090791320079894e-07,,,,,,,,,,,,,,,
2012-06-25,,0.0,2.7189171241886695e-07,9.70453375506834e-08,3.927324734939189e-07,,,,,,,,,,,,,,,
2012-06-26,,0.0,1.6437545095377623e-07,5.488949629453017e-08,3.4369412472153216e-07,,,,,,,,,,,,,,,
2012-06-27,,0.0,2.2695671002088917e-07,,4.392710516533339e-08,,,,,,,,,,,,,,,
2012-06-28,,0.0,1.5856922241019323e-07,,,,,,,,,,,,,,,,,
