,#hurricanearthur,hurricane arthur,#hurricanebertha,hurricane bertha,#hurricanecristobal,hurricane cristobal,#hurricaneedouard,hurricane edouard,hurricane fay,#hurricanegonzalo,hurricane gonzalo
2014-07-01,9.174375441512407e-08,3.0654174804328273e-07,,,,,,,,,
2014-07-02,8.169756529920791e-07,1.7768332072246547e-06,,,,,,,,,
2014-07-03,1.07988531358492e-05,2.9244910302768636e-05,,,,,,,,,
2014-07-04,5.839703728757441e-06,2.8368061872410637e-05,,,,,,,,,
2014-07-05,2.130652109123826e-06,9.089175432369283e-06,,,,,,,,,
2014-07-06,6.211454299318983e-07,2.7802869941922912e-06,,,,,,,,,
2014-07-07,4.3732651484930153e-07,1.8952281700334593e-06,,,,,,,,,
2014-07-08,2.946585934780404e-07,1.3777954837323762e-06,,,,,,,,,
2014-07-09,2.467859357710552e-07,9.776625717855426e-07,,,,,,,,,
2014-07-10,3.6122126561967785e-07,1.4106291920709366e-06,,,,,,,,,
2014-07-11,1.3926345668699069e-07,5.163795391201393e-07,,,,,,,,,
2014-07-12,6.381315151881642e-08,1.2979176823052796e-07,,,,,,,,,
2014-07-13,,1.1979223617892285e-07,,,,,,,,,
2014-07-14,,1.4460862647336308e-07,,,,,,,,,
2014-07-15,,1.0595713077185882e-07,,,,,,,,,
2014-07-16,,,,,,,,,,,
2014-07-17,,,,,,,,,,,
2014-07-18,,,,,,,,,,,
2014-07-19,,,,,,,,,,,
2014-07-20,,,,,,,,,,,
2014-07-21,,,,,,,,,,,
2014-07-22,,,,,,,,,,,
2014-07-23,,,,,,,,,,,
2014-07-24,,,,,,,,,,,
2014-07-25,,,,,,,,,,,
2014-07-26,,,,,,,,,,,
2014-07-27,,,,,,,,,,,
2014-07-28,,,,,,,,,,,
2014-07-29,,,,,,,,,,,
2014-07-30,,,,,,,,,,,
2014-07-31,,,,,,,,,,,
2014-08-01,,,,,,,,,,,
2014-08-02,,,,,,,,,,,
2014-08-03,,,,,,,,,,,
2014-08-04,,,5.477133051666289e-08,2.1734226576085882e-06,,,,,,,
2014-08-05,,,1.342772486806589e-07,1.0886426786795443e-06,,,,,,,
2014-08-06,,,8.692665058102169e-08,4.3703751362057406e-07,,,,,,,
2014-08-07,,,1.108300154059263e-07,4.63639314302525e-07,,,,,,,
2014-08-08,,,2.3508760868049484e-07,1.3187543805723638e-06,,,,,,,
2014-08-09,,,3.9184854918208247e-07,1.6941037088276773e-06,,,,,,,
2014-08-10,,,1.3779530321180098e-06,4.691940709234855e-06,,,,,,,
2014-08-11,,,4.499025169842854e-07,1.3706324523619872e-06,,,,,,,
2014-08-12,,,1.5400190526293973e-07,6.680713159097404e-07,,,,,,,
2014-08-13,,,5.537696002497849e-08,1.4570451893223238e-07,,,,,,,
2014-08-14,,,8.567616560651369e-08,7.595235454788648e-08,,,,,,,
2014-08-15,,,8.231695762583143e-09,0.0,,,,,,,
2014-08-16,,,,3.7879203617395764e-08,,,,,,,
2014-08-17,,,,0.0,,,,,,,
2014-08-18,,,,0.0,,,,,,,
2014-08-19,,,,0.0,,,,,,,
2014-08-20,,,,0.0,,,,,,,
2014-08-21,,,,0.0,,,,,,,
2014-08-22,,,,0.0,,,,,,,
2014-08-23,,,,0.0,,,,,,,
2014-08-24,,,,0.0,,,,,,,
2014-08-25,,,,0.0,2.4667502418093593e-08,4.6419739244256297e-07,,,,,
2014-08-26,,,,0.0,5.661369105227811e-08,3.1031517897493693e-06,,,,,
2014-08-27,,,,0.0,1.065643744852787e-07,2.8670763573800206e-06,,,,,
2014-08-28,,,,0.0,1.252018901345401e-07,2.0806179761050978e-06,,,,,
2014-08-29,,,,0.0,9.695210606503995e-08,2.6090025745885885e-06,,,,,
2014-08-30,,,,0.0,9.064701144553584e-08,3.351475890916675e-07,,,,,
2014-08-31,,,,0.0,1.2383328590076223e-07,1.826296569397054e-07,,,,,
2014-09-01,,,,0.0,8.589893741686886e-08,2.115734108619555e-07,,,,,
2014-09-02,,,,0.0,4.055773142827612e-08,2.1076574567656227e-07,,,,,
2014-09-03,,,,0.0,1.0149787948515641e-07,1.649888356179658e-07,,,,,
2014-09-04,,,,0.0,0.0,,,,,,
2014-09-05,,,,0.0,3.678693898860418e-08,,,,,,
2014-09-06,,,,0.0,,,,,,,
2014-09-07,,,,0.0,,,,,,,
2014-09-08,,,,0.0,,,,,,,
2014-09-09,,,,0.0,,,,,,,
2014-09-10,,,,0.0,,,,,,,
2014-09-11,,,,0.0,,,,,,,
2014-09-12,,,,0.0,,,,,,,
2014-09-13,,,,0.0,,,,,,,
2014-09-14,,,,0.0,,,,6.642824094807272e-07,,,
2014-09-15,,,,0.0,,,3.439524466481172e-08,9.139340388624338e-07,,,
2014-09-16,,,,0.0,,,2.5885686753697854e-08,1.1878081537941824e-06,,,
2014-09-17,,,,0.0,,,2.6560459769349675e-08,1.1515110665587214e-06,,,
2014-09-18,,,,0.0,,,0.0,7.85429320599519e-07,,,
2014-09-19,,,,0.0,,,0.0,1.6033186933301371e-07,,,
2014-09-20,,,,0.0,,,0.0,,,,
2014-09-21,,,,0.0,,,0.0,,,,
2014-09-22,,,,0.0,,,0.0,,,,
2014-09-23,,,,0.0,,,0.0,,,,
2014-09-24,,,,0.0,,,0.0,,,,
2014-09-25,,,,0.0,,,0.0,,,,
2014-09-26,,,,0.0,,,0.0,,,,
2014-09-27,,,,0.0,,,0.0,,,,
2014-09-28,,,,0.0,,,0.0,,,,
2014-09-29,,,,0.0,,,0.0,,,,
2014-09-30,,,,0.0,,,0.0,,,,
2014-10-01,,,,0.0,,,0.0,,,,
2014-10-02,,,,0.0,,,0.0,,,,
2014-10-03,,,,0.0,,,0.0,,,,
2014-10-04,,,,0.0,,,0.0,,,,
2014-10-05,,,,0.0,,,0.0,,,,
2014-10-06,,,,0.0,,,0.0,,,,
2014-10-07,,,,0.0,,,0.0,,,,
2014-10-08,,,,0.0,,,0.0,,,,
2014-10-09,,,,0.0,,,0.0,,,,
2014-10-10,,,,0.0,,,0.0,,,,
2014-10-11,,,,0.0,,,0.0,,,,
2014-10-12,,,,0.0,,,0.0,,1.2734234738220476e-07,,
2014-10-13,,,,0.0,,,0.0,,,8.8825503798938e-08,1.774591537250721e-06
2014-10-14,,,,0.0,,,0.0,,,2.1161519476806824e-07,5.188280795576721e-06
2014-10-15,,,,0.0,,,0.0,,,1.8119104815414008e-07,4.546299135999918e-06
2014-10-16,,,,0.0,,,0.0,,,4.3514974658646556e-07,1.011598363558267e-05
2014-10-17,,,,0.0,,,0.0,,,1.5402887207670168e-06,1.922816416221568e-05
2014-10-18,,,,0.0,,,0.0,,,5.773701774837883e-07,1.4981014862039218e-05
2014-10-19,,,,0.0,,,0.0,,,2.2155879444577978e-07,4.567986396806349e-06
2014-10-20,,,,0.0,,,0.0,,,9.563985262004978e-07,3.563233203663019e-06
2014-10-21,,,,0.0,,,0.0,,,5.3332469425537565e-06,6.388919058784444e-06
2014-10-22,,,,0.0,,,0.0,,,3.1958160092734055e-07,8.950481202892319e-07
