,hurricane ana,#hurricanebill,hurricane bill,#hurricanedanny,hurricane danny,#hurricaneerika,hurricane erika,#hurricanefred,hurricane fred,#hurricanegrace,hurricane grace,#hurricanejoaquin,hurricane joaquin,#hurricanekate,hurricane kate
2015-05-08,3.289882141836535e-08,,,,,,,,,,,,,,
2015-05-09,,,,,,,,,,,,,,,
2015-05-10,,,,,,,,,,,,,,,
2015-05-11,,,,,,,,,,,,,,,
2015-05-12,,,,,,,,,,,,,,,
2015-05-13,,,,,,,,,,,,,,,
2015-05-14,,,,,,,,,,,,,,,
2015-05-15,,,,,,,,,,,,,,,
2015-05-16,,,,,,,,,,,,,,,
2015-05-17,,,,,,,,,,,,,,,
2015-05-18,,,,,,,,,,,,,,,
2015-05-19,,,,,,,,,,,,,,,
2015-05-20,,,,,,,,,,,,,,,
2015-05-21,,,,,,,,,,,,,,,
2015-05-22,,,,,,,,,,,,,,,
2015-05-23,,,,,,,,,,,,,,,
2015-05-24,,,,,,,,,,,,,,,
2015-05-25,,,,,,,,,,,,,,,
2015-05-26,,,,,,,,,,,,,,,
2015-05-27,,,,,,,,,,,,,,,
2015-05-28,,,,,,,,,,,,,,,
2015-05-29,,,,,,,,,,,,,,,
2015-05-30,,,,,,,,,,,,,,,
2015-05-31,,,,,,,,,,,,,,,
2015-06-01,,,,,,,,,,,,,,,
2015-06-02,,,,,,,,,,,,,,,
2015-06-03,,,,,,,,,,,,,,,
2015-06-04,,,,,,,,,,,,,,,
2015-06-05,,,,,,,,,,,,,,,
2015-06-06,,,,,,,,,,,,,,,
2015-06-07,,,,,,,,,,,,,,,
2015-06-08,,,,,,,,,,,,,,,
2015-06-09,,,,,,,,,,,,,,,
2015-06-10,,,,,,,,,,,,,,,
2015-06-11,,,,,,,,,,,,,,,
2015-06-12,,,,,,,,,,,,,,,
2015-06-13,,,,,,,,,,,,,,,
2015-06-14,,,,,,,,,,,,,,,
2015-06-15,,,,,,,,,,,,,,,
2015-06-16,,1.933641054904452e-07,5.249236808211218e-07,,,,,,,,,,,,
2015-06-17,,1.0626013419804869e-07,3.3508635154336376e-07,,,,,,,,,,,,
2015-06-18,,,,,,,,,,,,,,,
2015-06-19,,,,,,,,,,,,,,,
2015-06-20,,,,,,,,,,,,,,,
2015-06-21,,,,,,,,,,,,,,,
2015-06-22,,,,,,,,,,,,,,,
2015-06-23,,,,,,,,,,,,,,,
2015-06-24,,,,,,,,,,,,,,,
2015-06-25,,,,,,,,,,,,,,,
2015-06-26,,,,,,,,,,,,,,,
2015-06-27,,,,,,,,,,,,,,,
2015-06-28,,,,,,,,,,,,,,,
2015-06-29,,,,,,,,,,,,,,,
2015-06-30,,,,,,,,,,,,,,,
2015-07-01,,,,,,,,,,,,,,,
2015-07-02,,,,,,,,,,,,,,,
2015-07-03,,,,,,,,,,,,,,,
2015-07-04,,,,,,,,,,,,,,,
2015-07-05,,,,,,,,,,,,,,,
2015-07-06,,,,,,,,,,,,,,,
2015-07-07,,,,,,,,,,,,,,,
2015-07-08,,,,,,,,,,,,,,,
2015-07-09,,,,,,,,,,,,,,,
2015-07-10,,,,,,,,,,,,,,,
2015-07-11,,,,,,,,,,,,,,,
2015-07-12,,,,,,,,,,,,,,,
2015-07-13,,,,,,,,,,,,,,,
2015-07-14,,,,,,,,,,,,,,,
2015-07-15,,,,,,,,,,,,,,,
2015-07-16,,,,,,,,,,,,,,,
2015-07-17,,,,,,,,,,,,,,,
2015-07-18,,,,,,,,,,,,,,,
2015-07-19,,,,,,,,,,,,,,,
2015-07-20,,,,,,,,,,,,,,,
2015-07-21,,,,,,,,,,,,,,,
2015-07-22,,,,,,,,,,,,,,,
2015-07-23,,,,,,,,,,,,,,,
2015-07-24,,,,,,,,,,,,,,,
2015-07-25,,,,,,,,,,,,,,,
2015-07-26,,,,,,,,,,,,,,,
2015-07-27,,,,,,,,,,,,,,,
2015-07-28,,,,,,,,,,,,,,,
2015-07-29,,,,,,,,,,,,,,,
2015-07-30,,,,,,,,,,,,,,,
2015-07-31,,,,,,,,,,,,,,,
2015-08-01,,,,,,,,,,,,,,,
2015-08-02,,,,,,,,,,,,,,,
2015-08-03,,,,,,,,,,,,,,,
2015-08-04,,,,,,,,,,,,,,,
2015-08-05,,,,,,,,,,,,,,,
2015-08-06,,,,,,,,,,,,,,,
2015-08-07,,,,,,,,,,,,,,,
2015-08-08,,,,,,,,,,,,,,,
2015-08-09,,,,,,,,,,,,,,,
2015-08-10,,,,,,,,,,,,,,,
2015-08-11,,,,,,,,,,,,,,,
2015-08-12,,,,,,,,,,,,,,,
2015-08-13,,,,,,,,,,,,,,,
2015-08-14,,,,,,,,,,,,,,,
2015-08-15,,,,,,,,,,,,,,,
2015-08-16,,,,,,,,,,,,,,,
2015-08-17,,,,,,,,,,,,,,,
2015-08-18,,,,,1.625182000069233e-07,,,,,,,,,,
2015-08-19,,,,,1.7112229358390951e-07,,,,,,,,,,
2015-08-20,,,,9.551151321999201e-07,6.381131879694583e-06,,,,,,,,,,
2015-08-21,,,,1.0154102800964128e-06,8.585659378232863e-06,,,,,,,,,,
2015-08-22,,,,3.8173609681164127e-07,6.084328667916832e-06,,,,,,,,,,
2015-08-23,,,,3.807067489579533e-08,6.923635432318152e-07,,,,,,,,,,
2015-08-24,,,,7.104368591693022e-08,3.850259815051037e-07,,,,,,,,,,
2015-08-25,,,,0.0,2.8437836321848627e-07,5.6162638839776484e-08,,,,,,,,,
2015-08-26,,,,0.0,1.5894740029976633e-07,6.838678447664542e-08,1.7060354298841585e-06,,,,,,,,
2015-08-27,,,,1.9876785199920654e-08,,3.180285631987305e-07,1.2928019384444638e-06,,,,,,,,
2015-08-28,,,,4.1004929540870774e-08,,6.560788726539324e-07,2.3231462149100988e-06,,,,,,,,
2015-08-29,,,,,,3.222522874058156e-07,1.7045536801313954e-06,,,,,,,,
2015-08-30,,,,,,2.682333432112425e-07,1.4838489328749178e-06,,,,,,,,
2015-08-31,,,,,,1.4944523239719976e-07,5.623445320137443e-07,1.793342788766397e-07,7.234778690715287e-06,,,,,,
2015-09-01,,,,,,3.970087258448601e-08,1.400083709928029e-07,1.9850436292243005e-08,1.1092970932506693e-06,,,,,,
2015-09-02,,,,,,,0.0,1.02011694069745e-08,0.0,,,,,,
2015-09-03,,,,,,,0.0,0.0,0.0,,,,,,
2015-09-04,,,,,,,7.979600220433036e-08,,2.279885777266582e-08,,,,,,
2015-09-05,,,,,,,0.0,,,,,,,,
2015-09-06,,,,,,,1.5850834188556964e-07,,,,,,,,
2015-09-07,,,,,,,,,,,,,,,
2015-09-08,,,,,,,,,,9.930315599133576e-09,,,,,
2015-09-09,,,,,,,,,,,,,,,
2015-09-10,,,,,,,,,,,,,,,
2015-09-11,,,,,,,,,,,,,,,
2015-09-12,,,,,,,,,,,,,,,
2015-09-13,,,,,,,,,,,,,,,
2015-09-14,,,,,,,,,,,,,,,
2015-09-15,,,,,,,,,,,,,,,
2015-09-16,,,,,,,,,,,,,,,
2015-09-17,,,,,,,,,,,,,,,
2015-09-18,,,,,,,,,,,,,,,
2015-09-19,,,,,,,,,,,,,,,
2015-09-20,,,,,,,,,,,,,,,
2015-09-21,,,,,,,,,,,,,,,
2015-09-22,,,,,,,,,,,,,,,
2015-09-23,,,,,,,,,,,,,,,
2015-09-24,,,,,,,,,,,,,,,
2015-09-25,,,,,,,,,,,,,,,
2015-09-26,,,,,,,,,,,,,,,
2015-09-27,,,,,,,,,,,,,,,
2015-09-28,,,,,,,,,,,,,,,
2015-09-29,,,,,,,,,,,,,,,
2015-09-30,,,,,,,,,,,,4.463770605986337e-06,2.590979226627072e-05,,
2015-10-01,,,,,,,,,,,,1.0297146903749419e-05,5.449466212793107e-05,,
2015-10-02,,,,,,,,,,,,8.36923316999929e-06,4.0197426961626985e-05,,
2015-10-03,,,,,,,,,,,,4.525713807872422e-06,2.6070374556634832e-05,,
2015-10-04,,,,,,,,,,,,2.6856557387298414e-06,1.5070156967108775e-05,,
2015-10-05,,,,,,,,,,,,1.668386169733007e-06,8.694099904183969e-06,,
2015-10-06,,,,,,,,,,,,7.521468970359624e-07,3.9694215610047995e-06,,
2015-10-07,,,,,,,,,,,,3.591052617792863e-07,2.9086071100809198e-06,,
