,#hurricanecindy,hurricane cindy,#hurricanedon,hurricane don,#hurricanefranklin,hurricane franklin,#hurricanegert,hurricane gert,#hurricaneharvey,hurricane harvey,#hurricaneirma,hurricane irma,#hurricanejose,hurricane jose,#hurricanekatia,hurricane katia,#hurricanelee,hurricane lee,#hurricanemaria,hurricane maria,#hurricanenate,hurricane nate,#hurricaneophelia,hurricane ophelia
2017-06-21,1.251672234104764e-07,1.5054475598494064e-07,,,,,,,,,,,,,,,,,,,,,,
2017-06-22,8.31303106413448e-08,4.4976099925380153e-08,,,,,,,,,,,,,,,,,,,,,,
2017-06-23,,1.1025078920271181e-07,,,,,,,,,,,,,,,,,,,,,,
2017-06-24,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-25,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-02,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-08,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-09,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-15,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-16,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-17,,,,1.3838879705169126e-07,,,,,,,,,,,,,,,,,,,,
2017-07-18,,,5.5867866239143406e-08,,,,,,,,,,,,,,,,,,,,,
2017-07-19,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-20,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-21,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-22,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-23,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-24,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-25,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-26,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-27,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-28,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-29,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-30,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-31,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-01,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-02,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-03,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-04,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-05,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-06,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-07,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-08,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-09,,,0.0,,1.4135362492889913e-07,1.9262112497891487e-06,,,,,,,,,,,,,,,,,,
2017-08-10,,,0.0,,9.89049889569754e-08,1.9870829216122996e-06,,,,,,,,,,,,,,,,,,
2017-08-11,,,0.0,,,2.5734361803570646e-07,,,,,,,,,,,,,,,,,,
2017-08-12,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-13,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-14,,,0.0,,,,1.3554051483546506e-08,6.010560261180833e-07,,,,,,,,,,,,,,,,
2017-08-15,,,0.0,,,,1.81522813553821e-07,2.3676398605143503e-06,,,,,,,,,,,,,,,,
2017-08-16,,,0.0,,,,2.3806294214901216e-07,1.4427845707932319e-06,,,,,,,,,,,,,,,,
2017-08-17,,,0.0,,,,2.2510598585682926e-07,1.3308944858837603e-06,,,,,,,,,,,,,,,,
2017-08-18,,,0.0,,,,4.045681898065646e-08,4.6708394486663724e-07,,,,,,,,,,,,,,,,
2017-08-19,,,0.0,,,,6.008568940337194e-08,6.348975026355572e-07,,,,,,,,,,,,,,,,
2017-08-20,,,0.0,,,,1.0809950021585926e-07,5.188764056152604e-07,,,,,,,,,,,,,,,,
2017-08-21,,,0.0,,,,,3.761577156477577e-07,,,,,,,,,,,,,,,,
2017-08-22,,,0.0,,,,,1.8247446505557732e-07,,,,,,,,,,,,,,,,
2017-08-23,,,0.0,,,,,,3.254954178241036e-07,7.185599557024605e-07,,,,,,,,,,,,,,
2017-08-24,,,0.0,,,,,,2.6276382412111103e-05,3.0124076007241386e-05,,,,,,,,,,,,,,
2017-08-25,,,5.694229255961968e-08,,,,,,0.00010125763174414372,0.0001551144218872265,,,,,,,,,,,,,,
2017-08-26,,,,,,,,,6.403173796529507e-05,0.00011723975215750297,,,,,,,,,,,,,,
2017-08-27,,,,,,,,,5.939969740770208e-05,8.436656866930531e-05,,,,,,,,,,,,,,
2017-08-28,,,,,,,,,7.131790883207438e-05,0.00014513671147237903,,,,,,,,,,,,,,
2017-08-29,,,,,,,,,7.467513180056174e-05,0.0001577160627908601,,,,,,,,,,,,,,
2017-08-30,,,,,,,,,6.0019344707403635e-05,0.00014095300792614962,5.676930215881167e-08,1.8399174318653277e-07,,,,,,,,,,,,
2017-08-31,,,,,,,,,4.1806756218551706e-05,0.0001167499411172892,2.1450146550765965e-06,1.0958095213267572e-05,,,,,,,,,,,,
2017-09-01,,,,,,,,,3.175857480042469e-05,9.881622856860115e-05,2.304343101798256e-06,1.3456778983464686e-05,,,,,,,,,,,,
2017-09-02,,,,,,,,,2.130641963394988e-05,7.152564947527643e-05,2.00759577098008e-06,1.1075505477030534e-05,,,,,,,,,,,,
2017-09-03,,,,,,,,,1.497845620306693e-05,5.241074042680954e-05,3.287163901862256e-06,1.8172568288692757e-05,,,,,,,,,,,,
2017-09-04,,,,,,,,,1.1325082661640796e-05,4.0719450166355995e-05,1.4886141042426634e-05,4.9634065779542775e-05,,,,,,,,,,,,
2017-09-05,,,,,,,,,1.2212020591140375e-05,4.75515596245161e-05,4.835165876329562e-05,0.00013603667830724964,5.673412585895644e-07,1.8536529363938298e-06,,,,,,,,,,
2017-09-06,,,,,,,,,1.3422086132211126e-05,4.465618851198345e-05,6.584038380123352e-05,0.000206316580443633,2.0205290951715675e-06,3.6018085007919613e-06,8.082116380686271e-07,1.917846084837278e-06,,,,,,,,
2017-09-07,,,,,,,,,1.2173810165497574e-05,3.407504819830027e-05,7.10090502254799e-05,0.0002043247247560907,2.5277362396140546e-06,6.717697203534093e-06,5.665615709479778e-07,1.961944276733088e-06,,,,,,,,
2017-09-08,,,,,,,,,1.1505305366838909e-05,3.435537933181036e-05,8.128186671314995e-05,0.0002233017584471802,3.784439942328783e-06,1.0817102235863843e-05,1.0031045630269063e-06,3.1679829006399425e-06,,,,,,,,
2017-09-09,,,,,,,,,6.9218946889618186e-06,2.1025460442628343e-05,9.578537368880263e-05,0.00023017160963218744,2.908495655690529e-06,1.0204825988890745e-05,6.499431632827998e-07,4.064335867989245e-06,,,,,,,,
2017-09-10,,,,,,,,,5.76107404653077e-06,1.6661049276201682e-05,0.0001426498911576424,0.00028253505681032136,2.4532046077260148e-06,5.879362038824256e-06,2.2157977102041425e-07,5.82793904723104e-07,,,,,,,,
2017-09-11,,,,,,,,,6.297463966717565e-06,1.6297357979426037e-05,6.747502245314698e-05,0.00017273873121835184,1.2441331251320068e-06,5.603771105845371e-06,1.5359668211506258e-08,9.947522673098293e-08,,,,,,,,
2017-09-12,,,,,,,,,5.2787159100091465e-06,1.5410765979907178e-05,2.9395486674693796e-05,9.205740084338862e-05,8.411140735728861e-07,4.776710999869603e-06,2.900393357147883e-08,2.192588655677851e-07,,,,,,,,
2017-09-13,,,,,,,,,4.459142990126215e-06,1.5043664559208522e-05,1.915336586362938e-05,6.640518883753633e-05,5.386884149145763e-07,3.890046307692332e-06,5.985426832384181e-08,0.0,,,,,,,,
2017-09-14,,,,,,,,,3.5690261986682755e-06,1.1310587409073431e-05,1.3066518509768789e-05,4.732079091232003e-05,5.823933964354089e-07,1.8850979015122384e-06,0.0,1.6111947876172977e-08,,,,,,,,
2017-09-15,,,,,,,,,3.150255534607132e-06,1.2143380325144452e-05,1.0459469114902498e-05,3.624589658429323e-05,7.759250085239242e-07,3.5341424118696263e-06,0.0,,4.655550051143545e-08,,,,,,,
2017-09-16,,,,,,,,,2.4598372198478666e-06,8.42537365706152e-06,5.733965381438476e-06,2.577173118630583e-05,7.633977578838207e-07,7.801271904686592e-06,0.0,,0.0,,5.089318385892138e-07,8.260170252021098e-07,,,,
2017-09-17,,,,,,,,,1.2492180775693316e-06,5.270669328539614e-06,3.92382601287803e-06,1.9106176315956098e-05,7.687495861965119e-07,5.634761617682153e-06,0.0,,0.0,,2.0980457456613137e-06,7.645938071993321e-06,,,,
2017-09-18,,,,,,,,,1.87147905180464e-06,6.734954395241916e-06,5.234055234315415e-06,1.908784635919782e-05,1.4302360233303752e-06,6.061458955717724e-06,0.0,,3.043055368788032e-08,,1.583910319454171e-05,5.341968705689441e-05,,,,
2017-09-19,,,,,,,,,1.7128158607109294e-06,6.8865944628572175e-06,4.5675089618958116e-06,1.4745414026353102e-05,1.5926182564505135e-06,4.958348013257197e-06,1.502470053255201e-08,,0.0,,2.0839259638649642e-05,6.703492068903602e-05,,,,
