Alex,June 25, July 2,Category 2 hurricane,110 (175),946,"Greater Antilles, Central America (Belize), Yucatan Peninsula, Northern Mexico, South Texas",1520000000,33 (19),
Two,July 8,July 9,Tropical depression,35 (55),1005,"Northern Mexico, South Texas",Minimal,None,
Bonnie,July 22, July 24,Tropical storm,45 (75),1005,"Puerto Rico, Hispaniola, Turks and Caicos, Bahamas, Florida",13600000,1,
Colin,August 2,August 8,Tropical storm,60 (95),1005,"Leeward Islands, Bermuda, The Carolinas, New England",Minimal,1,
Five,August 10,August 11,Tropical depression,35 (55),1007,United States Gulf Coast,1000000,0 (2),
Danielle,August 21,August 30,Category 4 hurricane,130 (215),942,"Bermuda, United States East Coast",Minimal,2,
Earl,August 25, September 4,Category 4 hurricane,145 (230),927,"Leeward Islands, Puerto Rico, Bahamas, Eastern United States, Atlantic Canada, Quebec",45000000,5 (3),
Fiona,August 30, September 3,Tropical storm,65 (100),998,"Leeward Islands, Bermuda",Minimal,None,
Gaston,September 1,September 2,Tropical storm,40 (65),1005,"Leeward Islands, Puerto Rico",None,None,
Hermine,September 5,September 9,Tropical storm,70 (110),989,"Central America, Mexico, Texas, Oklahoma, Kansas",740000000,52 (50),
Igor,September 8,September 21,Category 4 hurricane,155 (250),924,"Cabo Verde, Leeward Islands, Bermuda, United States East Coast, Newfoundland",200500000,4,
Julia,September 12,September 20,Category 4 hurricane,140 (220),948,Cabo Verde,Minimal,None,
Karl,September 14,September 18,Category 3 hurricane,125 (205),956,"Belize, Yucatán Peninsula, Veracruz",3900000000,22,
Lisa,September 20,September 26,Category 1 hurricane,85 (140),982,None,None,None,
Matthew,September 23,September 26,Tropical storm,60 (95),998,"Venezuela, Central America (Nicaragua, Belize), Mexico, Jamaica, Haiti",171200000,126,
Nicole,September 28,September 29,Tropical storm,45 (75),995,"Cayman Islands, Jamaica, Cuba, Florida, Bahamas, United States East Coast",245400000,16,
Otto,October 6,October 10,Category 1 hurricane,85 (140),976,"Leeward Islands, Virgin Islands, Puerto Rico",22500000,None,
Paula,October 11,October 15,Category 2 hurricane,105 (165),981,"Nicaragua, Honduras, Mexico, Cuba, Bahamas, Florida",Unknown,1,
Richard,October 20,October 26,Category 2 hurricane,100 (155),977,"Honduras, Belize, Guatemala, Mexico",80000000,1 (1),
Shary,October 28,October 30,Category 1 hurricane,75 (120),989,Bermuda,Minimal,None,
Tomas,October 29, November 7,Category 2 hurricane,100 (155),982,"Windward Islands (Barbados, St. Vincent), Leeward Antilles, Greater Antilles, Lucayan Archipelago (Caicos Islands)",463400000,51,
