,#hurricanedon,hurricane don,#hurricaneemily,hurricane emily,#hurricaneirene,hurricane irene,#hurricanejose,hurricane jose,#hurricanekatia,hurricane katia,#hurricanelee,hurricane lee,#hurricanemaria,hurricane maria,hurricane nate,#hurricaneophelia,hurricane ophelia,hurricane philippe,#hurricanerina,hurricane rina
2011-07-28,,9.0,,,,,,,,,,,,,,,,,,
2011-07-29,3.0,18.0,,,,,,,,,,,,,,,,,,
2011-07-30,,3.0,,,,,,,,,,,,,,,,,,
2011-07-31,,,,,,,,,,,,,,,,,,,,
2011-08-01,,,,,,,,,,,,,,,,,,,,
2011-08-02,,,3.0,30.0,,,,,,,,,,,,,,,,
2011-08-03,,,3.0,24.0,,,,,,,,,,,,,,,,
2011-08-04,,,,18.0,,,,,,,,,,,,,,,,
2011-08-05,,,,6.0,,,,,,,,,,,,,,,,
2011-08-06,,,,9.0,,,,,,,,,,,,,,,,
2011-08-07,,,,,,,,,,,,,,,,,,,,
2011-08-08,,,,,,,,,,,,,,,,,,,,
2011-08-09,,,,,,,,,,,,,,,,,,,,
2011-08-10,,,,,,,,,,,,,,,,,,,,
2011-08-11,,,,,,,,,,,,,,,,,,,,
2011-08-12,,,,,,,,,,,,,,,,,,,,
2011-08-13,,,,,,,,,,,,,,,,,,,,
2011-08-14,,,,,,,,,,,,,,,,,,,,
2011-08-15,,,,,,,,,,,,,,,,,,,,
2011-08-16,,,,,,,,,,,,,,,,,,,,
2011-08-17,,,,,,,,,,,,,,,,,,,,
2011-08-18,,,,,,,,,,,,,,,,,,,,
2011-08-19,,,,,,,,,,,,,,,,,,,,
2011-08-20,,,,,,,,,,,,,,,,,,,,
2011-08-21,,,,,9.0,75.0,,,,,,,,,,,,,,
2011-08-22,,,,,214.0,2565.0,,,,,,,,,,,,,,
2011-08-23,,,,,372.0,4335.0,,,,,,,,,,,,,,
2011-08-24,,,,,430.0,3768.0,,,,,,,,,,,,,,
2011-08-25,,,,,1515.0,6961.0,,,,,,,,,,,,,,
2011-08-26,,,,,3444.0,13013.0,,,,,,,,,,,,,,
2011-08-27,,,,,5499.0,17346.0,,,,,,,,,,,,,,
2011-08-28,,,,,2943.0,10721.0,,28.0,,,,,,,,,,,,
2011-08-29,,,,,435.0,4664.0,2.0,,,24.0,,,,,,,,,,
2011-08-30,,,,,185.0,2278.0,,,13.0,134.0,,,,,,,,,,
2011-08-31,,,,,120.0,1479.0,,,11.0,121.0,,,,,,,,,,
2011-09-01,,,,,48.0,981.0,,,5.0,212.0,,7.0,,,,,,,,
