,#hurricanecindy,hurricane cindy,#hurricanedon,hurricane don,#hurricanefranklin,hurricane franklin,#hurricanegert,hurricane gert,#hurricaneharvey,hurricane harvey,#hurricaneirma,hurricane irma,#hurricanejose,hurricane jose,#hurricanekatia,hurricane katia,#hurricanelee,hurricane lee,#hurricanemaria,hurricane maria,#hurricanenate,hurricane nate,#hurricaneophelia,hurricane ophelia
2017-06-21,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,
2017-06-22,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,
2017-06-23,,7.0,,,,,,,,,,,,,,,,,,,,,,
2017-06-24,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-25,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-02,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-08,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-09,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-15,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-16,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-17,,,,9.0,,,,,,,,,,,,,,,,,,,,
2017-07-18,,,4.0,,,,,,,,,,,,,,,,,,,,,
2017-07-19,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-20,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-21,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-22,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-23,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-24,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-25,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-26,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-27,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-28,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-29,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-30,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-07-31,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-01,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-02,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-03,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-04,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-05,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-06,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-07,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-08,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-09,,,0.0,,10.0,126.0,,,,,,,,,,,,,,,,,,
2017-08-10,,,0.0,,7.0,130.0,,,,,,,,,,,,,,,,,,
2017-08-11,,,0.0,,,17.0,,,,,,,,,,,,,,,,,,
2017-08-12,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-13,,,0.0,,,,,,,,,,,,,,,,,,,,,
2017-08-14,,,0.0,,,,1.0,41.0,,,,,,,,,,,,,,,,
2017-08-15,,,0.0,,,,14.0,169.0,,,,,,,,,,,,,,,,
2017-08-16,,,0.0,,,,18.0,101.0,,,,,,,,,,,,,,,,
2017-08-17,,,0.0,,,,17.0,93.0,,,,,,,,,,,,,,,,
2017-08-18,,,0.0,,,,3.0,32.0,,,,,,,,,,,,,,,,
2017-08-19,,,0.0,,,,4.0,39.0,,,,,,,,,,,,,,,,
2017-08-20,,,0.0,,,,7.0,31.0,,,,,,,,,,,,,,,,
2017-08-21,,,0.0,,,,,25.0,,,,,,,,,,,,,,,,
2017-08-22,,,0.0,,,,,12.0,,,,,,,,,,,,,,,,
2017-08-23,,,0.0,,,,,,23.0,47.0,,,,,,,,,,,,,,
2017-08-24,,,0.0,,,,,,1841.0,1952.0,,,,,,,,,,,,,,
2017-08-25,,,4.0,,,,,,7113.0,10082.0,,,,,,,,,,,,,,
2017-08-26,,,,,,,,,4093.0,6917.0,,,,,,,,,,,,,,
2017-08-27,,,,,,,,,4084.0,5346.0,,,,,,,,,,,,,,
2017-08-28,,,,,,,,,4948.0,9312.0,,,,,,,,,,,,,,
2017-08-29,,,,,,,,,5355.0,10463.0,,,,,,,,,,,,,,
2017-08-30,,,,,,,,,4229.0,9193.0,4.0,12.0,,,,,,,,,,,,
2017-08-31,,,,,,,,,2982.0,7703.0,153.0,723.0,,,,,,,,,,,,
2017-09-01,,,,,,,,,2150.0,6183.0,156.0,842.0,,,,,,,,,,,,
2017-09-02,,,,,,,,,1316.0,4075.0,124.0,631.0,,,,,,,,,,,,
2017-09-03,,,,,,,,,925.0,2985.0,203.0,1035.0,,,,,,,,,,,,
2017-09-04,,,,,,,,,741.0,2462.0,974.0,3001.0,,,,,,,,,,,,
2017-09-05,,,,,,,,,861.0,3104.0,3409.0,8880.0,40.0,121.0,,,,,,,,,,
2017-09-06,,,,,,,,,930.0,2864.0,4562.0,13232.0,140.0,231.0,56.0,123.0,,,,,,,,
2017-09-07,,,,,,,,,838.0,2171.0,4888.0,13018.0,174.0,428.0,39.0,125.0,,,,,,,,
2017-09-08,,,,,,,,,757.0,2093.0,5348.0,13604.0,249.0,659.0,66.0,193.0,,,,,,,,
2017-09-09,,,,,,,,,426.0,1195.0,5895.0,13082.0,179.0,580.0,40.0,231.0,,,,,,,,
2017-09-10,,,,,,,,,364.0,972.0,9013.0,16483.0,155.0,343.0,14.0,34.0,,,,,,,,
2017-09-11,,,,,,,,,410.0,983.0,4393.0,10419.0,81.0,338.0,1.0,6.0,,,,,,,,
2017-09-12,,,,,,,,,364.0,984.0,2027.0,5878.0,58.0,305.0,2.0,14.0,,,,,,,,
2017-09-13,,,,,,,,,298.0,932.0,1280.0,4114.0,36.0,241.0,4.0,0.0,,,,,,,,
2017-09-14,,,,,,,,,239.0,702.0,875.0,2937.0,39.0,117.0,0.0,1.0,,,,,,,,
2017-09-15,,,,,,,,,203.0,725.0,674.0,2164.0,50.0,211.0,0.0,,3.0,,,,,,,
2017-09-16,,,,,,,,,145.0,459.0,338.0,1404.0,45.0,425.0,0.0,,0.0,,30.0,45.0,,,,
2017-09-17,,,,,,,,,78.0,304.0,245.0,1102.0,48.0,325.0,0.0,,0.0,,131.0,441.0,,,,
2017-09-18,,,,,,,,,123.0,410.0,344.0,1162.0,94.0,369.0,0.0,,2.0,,1041.0,3252.0,,,,
2017-09-19,,,,,,,,,114.0,425.0,304.0,910.0,106.0,306.0,1.0,,0.0,,1387.0,4137.0,,,,
2017-09-20,,,,,,,,,125.0,349.0,247.0,785.0,36.0,69.0,,,0.0,,1709.0,4968.0,,,,
2017-09-21,,,,,,,,,95.0,383.0,194.0,642.0,15.0,20.0,,,0.0,,928.0,2653.0,,,,
2017-09-22,,,,,,,,,93.0,333.0,186.0,477.0,8.0,17.0,,,0.0,,620.0,2102.0,,,,
2017-09-23,,,,,,,,,59.0,228.0,93.0,317.0,2.0,0.0,,,0.0,,488.0,932.0,,,,
2017-09-24,,,,,,,,,78.0,173.0,62.0,226.0,5.0,0.0,,,3.0,65.0,340.0,952.0,,,,
2017-09-25,,,,,,,,,88.0,258.0,119.0,352.0,0.0,0.0,,,3.0,39.0,478.0,1410.0,,,,
2017-09-26,,,,,,,,,66.0,218.0,91.0,298.0,2.0,0.0,,,3.0,65.0,509.0,1317.0,,,,
