,#hurricanealex,hurricane alex,#hurricanebonnie,hurricane bonnie,#hurricanecolin,hurricane colin,#hurricanedanielle,hurricane danielle,#hurricaneearl,hurricane earl,hurricane fiona,hurricane gaston,#hurricanehermine,hurricane hermine,#hurricaneigor,hurricane igor,hurricane julia,#hurricanekarl,hurricane karl,hurricane lisa,hurricane matthew,hurricane nicole,hurricane otto,#hurricanepaula,hurricane paula,#hurricanerichard,hurricane richard,hurricane shary,#hurricanetomas,hurricane tomas
2010-06-26,,7.488555454657374e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-27,3.4002583516295565e-08,3.105626428690917e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-28,6.964997838674109e-08,2.7789462925732477e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-29,4.368374617269226e-07,6.362117229532222e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2.5550817394982576e-06,4.1142728012589266e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,1.1668525616020363e-06,2.373717742851106e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-02,7.469551865729727e-07,6.928331595877306e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-03,2.777600023246376e-07,2.935214989592599e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-04,1.1015015139918009e-07,1.3707957310868418e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-05,,1.153051933891497e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-06,1.4053903677284709e-07,7.901551930645445e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-07,1.1843583952424256e-07,1.1592700677754566e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-08,8.038428446724985e-08,4.98893540144088e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-09,5.023603737065518e-08,5.556047733762508e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-10,,1.9378825110926548e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-11,3.78387812506947e-08,1.0154240888244252e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-12,4.9469567509337875e-08,1.412440101505008e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-13,,4.395775280160781e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-14,,3.765848641254015e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-15,,1.6316618987693026e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-18,,1.2885178243891942e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-20,,2.2111075985210122e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-22,,1.0726459671380964e-07,1.0017989805192675e-07,1.0726459671380964e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-23,,,1.5410746478580219e-07,9.908581227686426e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-27,,1.596891554775137e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-02,,,,,,1.0839784676349232e-07,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-03,,,,,4.874614673896565e-08,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-04,,1.0410199872193977e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
