,#hurricaneandrea,hurricane andrea,hurricane chantal,hurricane erin,hurricane humberto,#hurricaneingrid,hurricane ingrid,#hurricanekaren,hurricane karen
2013-06-06,8.25663043166181e-08,4.084930954524971e-07,,,,,,,
2013-06-07,7.821001637243883e-08,4.6259903238011176e-07,,,,,,,
2013-06-08,2.4485435272220524e-08,6.891952762449736e-08,,,,,,,
2013-06-09,,,,,,,,,
2013-06-10,,,,,,,,,
2013-06-11,,,,,,,,,
2013-06-12,,,,,,,,,
2013-06-13,,,,,,,,,
2013-06-14,,,,,,,,,
2013-06-15,,,,,,,,,
2013-06-16,,,,,,,,,
2013-06-17,,,,,,,,,
2013-06-18,,,,,,,,,
2013-06-19,,,,,,,,,
2013-06-20,,,,,,,,,
2013-06-21,,,,,,,,,
2013-06-22,,,,,,,,,
2013-06-23,,,,,,,,,
2013-06-24,,,,,,,,,
2013-06-25,,,,,,,,,
2013-06-26,,,,,,,,,
2013-06-27,,,,,,,,,
2013-06-28,,,,,,,,,
2013-06-29,,,,,,,,,
2013-06-30,,,,,,,,,
2013-07-01,,,,,,,,,
2013-07-02,,,,,,,,,
2013-07-03,,,,,,,,,
2013-07-04,,,,,,,,,
2013-07-05,,,,,,,,,
2013-07-06,,,,,,,,,
2013-07-07,,,,,,,,,
2013-07-08,,,,,,,,,
2013-07-09,,,7.586650030779486e-08,,,,,,
2013-07-10,,,,,,,,,
2013-07-11,,,,,,,,,
2013-07-12,,,,,,,,,
2013-07-13,,,,,,,,,
2013-07-14,,,,,,,,,
2013-07-15,,,,,,,,,
2013-07-16,,,,,,,,,
2013-07-17,,,,,,,,,
2013-07-18,,,,,,,,,
2013-07-19,,,,,,,,,
2013-07-20,,,,,,,,,
2013-07-21,,,,,,,,,
2013-07-22,,,,,,,,,
2013-07-23,,,,,,,,,
2013-07-24,,,,,,,,,
2013-07-25,,,,,,,,,
2013-07-26,,,,,,,,,
2013-07-27,,,,,,,,,
2013-07-28,,,,,,,,,
2013-07-29,,,,,,,,,
2013-07-30,,,,,,,,,
2013-07-31,,,,,,,,,
2013-08-01,,,,,,,,,
2013-08-02,,,,,,,,,
2013-08-03,,,,,,,,,
2013-08-04,,,,,,,,,
2013-08-05,,,,,,,,,
2013-08-06,,,,,,,,,
2013-08-07,,,,,,,,,
2013-08-08,,,,,,,,,
2013-08-09,,,,,,,,,
2013-08-10,,,,,,,,,
