,#hurricanearthur,hurricane arthur,#hurricanebertha,hurricane bertha,#hurricanecristobal,hurricane cristobal,#hurricaneedouard,hurricane edouard,hurricane fay,#hurricanegonzalo,hurricane gonzalo
2014-07-01,6.48577636409112e-08,3.4463808790949823e-07,,,,,,,,,
2014-07-02,6.268381102561746e-07,1.3888464973761298e-06,,,,,,,,,
2014-07-03,1.3287769964038811e-05,2.837158207734882e-05,,,,,,,,,
2014-07-04,7.485300906709964e-06,2.6968537026151918e-05,,,,,,,,,
2014-07-05,2.3119618720676447e-06,1.0975785936222064e-05,,,,,,,,,
2014-07-06,6.702558557438111e-07,3.332136753838688e-06,,,,,,,,,
2014-07-07,3.8976487554129584e-07,1.6342425086033962e-06,,,,,,,,,
2014-07-08,2.0552764781896686e-07,9.666659382538447e-07,,,,,,,,,
2014-07-09,1.7152424695342308e-07,6.230111247323377e-07,,,,,,,,,
2014-07-10,2.3168945176534962e-07,8.249247729669921e-07,,,,,,,,,
2014-07-11,9.26027983875361e-08,3.119955168143337e-07,,,,,,,,,
2014-07-12,4.2033376939225605e-08,8.040331064450736e-08,,,,,,,,,
2014-07-13,,7.964066133605174e-08,,,,,,,,,
2014-07-14,,9.565511553559647e-08,,,,,,,,,
2014-07-15,,7.877920627855074e-08,,,,,,,,,
2014-07-16,,,,,,,,,,,
2014-07-17,,,,,,,,,,,
2014-07-18,,,,,,,,,,,
2014-07-19,,,,,,,,,,,
2014-07-20,,,,,,,,,,,
2014-07-21,,,,,,,,,,,
2014-07-22,,,,,,,,,,,
2014-07-23,,,,,,,,,,,
2014-07-24,,,,,,,,,,,
2014-07-25,,,,,,,,,,,
2014-07-26,,,,,,,,,,,
2014-07-27,,,,,,,,,,,
2014-07-28,,,,,,,,,,,
2014-07-29,,,,,,,,,,,
2014-07-30,,,,,,,,,,,
2014-07-31,,,,,,,,,,,
2014-08-01,,,,,,,,,,,
2014-08-02,,,,,,,,,,,
2014-08-03,,,,,,,,,,,
2014-08-04,,,4.782221772326256e-08,1.4956655914965503e-06,,,,,,,
2014-08-05,,,1.2017156279810475e-07,9.908054261617118e-07,,,,,,,
2014-08-06,,,9.472333128207704e-08,3.927636088359767e-07,,,,,,,
2014-08-07,,,1.3572793729485118e-07,7.052170194488056e-07,,,,,,,
2014-08-08,,,2.3361812363800924e-07,1.090156631645092e-06,,,,,,,
2014-08-09,,,2.7747305630679e-07,1.5207146976727938e-06,,,,,,,
2014-08-10,,,1.1745375126522275e-06,8.289728186528865e-06,,,,,,,
2014-08-11,,,3.89031743322385e-07,1.9679897887007125e-06,,,,,,,
2014-08-12,,,1.2325648474926603e-07,5.673963959595608e-07,,,,,,,
