,hurricane ana,#hurricanebill,hurricane bill,#hurricanedanny,hurricane danny,#hurricaneerika,hurricane erika,#hurricanefred,hurricane fred,#hurricaneida,hurricane ida
2009-08-15,3.0706958946146996e-07,,3.0706958946146996e-07,,,,,,,,
2009-08-16,0.0,,9.918042257802647e-07,,,,,,,,
2009-08-17,4.342480640135686e-07,5.413492236172441e-07,2.34976452416231e-05,,,,,,,,
2009-08-18,0.0,5.048961249853527e-07,2.7717578038031034e-05,,,,,,,,
2009-08-19,0.0,5.955673285036226e-07,4.194703199953448e-05,,,,,,,,
2009-08-20,0.0,7.665549356066174e-07,2.6058855108756543e-05,,,,,,,,
2009-08-21,0.0,1.1808072766067612e-06,4.0895990527296924e-05,,,,,,,,
2009-08-22,0.0,2.377431878862663e-06,8.383638778865294e-05,,,,,,,,
2009-08-23,0.0,8.440039670220197e-06,6.945600531330269e-05,,,,,,,,
2009-08-24,0.0,4.4504147252474164e-07,1.542360282508992e-05,,,,,,,,
2009-08-25,0.0,8.982471873859507e-08,3.554177943376854e-06,,,,,,,,
2009-08-26,0.0,0.0,3.059864203226661e-06,4.5415898589205067e-08,1.8942016496165044e-06,,,,,,
2009-08-27,0.0,4.375432402107138e-08,1.6845472781529613e-06,4.375432402107138e-08,3.1819226365111487e-06,,,,,,
2009-08-28,0.0,4.466469698330617e-08,1.3861240758854177e-06,,3.3936141168229196e-06,,,,,,
2009-08-29,0.0,5.384710942524188e-08,6.348002335603187e-07,,3.4048376163689816e-06,,,,,,
2009-08-30,0.0,5.361692253019544e-08,7.468198543551921e-07,,1.1489536220849107e-07,,,,,,
2009-08-31,0.0,,1.9665769432324457e-07,,1.9665769432324457e-07,,,,,,
2009-09-01,0.0,,1.4273739977277156e-07,,0.0,,,,,,
2009-09-02,0.0,,2.9605867448708945e-07,,0.0,4.6140893340295683e-08,6.908035738032087e-07,,,,
2009-09-03,0.0,,2.8742470909745193e-07,,0.0,,,,,,
2009-09-04,0.0,,1.9552336545765934e-07,,0.0,,,,,,
2009-09-05,0.0,,0.0,,0.0,,,,,,
2009-09-06,0.0,,0.0,,0.0,,,,,,
2009-09-07,0.0,,0.0,,0.0,,,,,,
2009-09-08,0.0,,1.4634838819202664e-07,,0.0,,,,7.805247370241422e-07,,
2009-09-09,0.0,,0.0,,0.0,,,,9.979582476334598e-06,,
2009-09-10,0.0,,0.0,,0.0,,,4.3875276803636944e-08,4.878967820580087e-06,,
2009-09-11,0.0,,0.0,,0.0,,,,1.953475232438508e-06,,
2009-09-12,0.0,,0.0,,0.0,,,,2.863556241332731e-07,,
2009-09-13,0.0,,0.0,,0.0,,,,1.961831970465012e-07,,
2009-09-14,0.0,,0.0,,0.0,,,,4.549471522014324e-08,,
2009-09-15,0.0,,0.0,,0.0,,,,1.3945244462459634e-07,,
2009-09-16,0.0,,1.8343128487515965e-07,,0.0,,,,,,
2009-09-17,0.0,,1.881825941356376e-07,,0.0,,,,,,
2009-09-18,0.0,,0.0,,0.0,,,,,,
2009-09-19,0.0,,2.2440845930128181e-07,,1.1220422965064091e-07,,,,,,
2009-09-20,0.0,,2.704631763033147e-07,,,,,,,,
2009-09-21,0.0,,1.362655313749342e-07,,,,,,,,
2009-09-22,0.0,,0.0,,,,,,,,
2009-09-23,0.0,,0.0,,,,,,,,
2009-09-24,0.0,,0.0,,,,,,,,
2009-09-25,0.0,,0.0,,,,,,,,
2009-09-26,0.0,,0.0,,,,,,,,
2009-09-27,0.0,,0.0,,,,,,,,
2009-09-28,0.0,,0.0,,,,,,,,
2009-09-29,0.0,,0.0,,,,,,,,
2009-09-30,0.0,,0.0,,,,,,,,
2009-10-01,0.0,,0.0,,,,,,,,
2009-10-02,0.0,,0.0,,,,,,,,
2009-10-03,0.0,,0.0,,,,,,,,
2009-10-04,0.0,,0.0,,,,,,,,
2009-10-05,0.0,,0.0,,,,,,,,
2009-10-06,0.0,,0.0,,,,,,,,
2009-10-07,0.0,,0.0,,,,,,,,
2009-10-08,0.0,,0.0,,,,,,,,
2009-10-09,0.0,,0.0,,,,,,,,
2009-10-10,0.0,,0.0,,,,,,,,
2009-10-11,0.0,,0.0,,,,,,,,
2009-10-12,0.0,,0.0,,,,,,,,
2009-10-13,0.0,,0.0,,,,,,,,
2009-10-14,0.0,,0.0,,,,,,,,
2009-10-15,0.0,,0.0,,,,,,,,
2009-10-16,0.0,,0.0,,,,,,,,
2009-10-17,0.0,,0.0,,,,,,,,
2009-10-18,0.0,,1.0556734185603116e-07,,,,,,,,
2009-10-19,0.0,,0.0,,,,,,,,
2009-10-20,0.0,,0.0,,,,,,,,
2009-10-21,0.0,,0.0,,,,,,,,
2009-10-22,0.0,,0.0,,,,,,,,
2009-10-23,0.0,,0.0,,,,,,,,
2009-10-24,0.0,,0.0,,,,,,,,
2009-10-25,0.0,,0.0,,,,,,,,
2009-10-26,0.0,,0.0,,,,,,,,
2009-10-27,0.0,,0.0,,,,,,,,
2009-10-28,0.0,,0.0,,,,,,,,
2009-10-29,0.0,,0.0,,,,,,,,
2009-10-30,0.0,,0.0,,,,,,,,
2009-10-31,0.0,,0.0,,,,,,,,
2009-11-01,0.0,,0.0,,,,,,,,
2009-11-02,0.0,,0.0,,,,,,,,
2009-11-03,0.0,,0.0,,,,,,,,
2009-11-04,0.0,,0.0,,,,,,,,
2009-11-05,0.0,,0.0,,,,,,,,6.448101303813899e-06
2009-11-06,0.0,,0.0,,,,,,,,7.795353427785118e-07
2009-11-07,0.0,,0.0,,,,,,,,4.702754412665007e-07
2009-11-08,0.0,,0.0,,,,,,,7.174884864200532e-07,4.0316779354329944e-05
2009-11-09,0.0,,0.0,,,,,,,6.918491825667383e-07,2.761593145388331e-05
2009-11-10,0.0,,0.0,,,,,,,3.749420245894479e-08,4.935911602076919e-06
2009-11-11,0.0,,0.0,,,,,,,,2.2448463005702034e-06
2009-11-12,0.0,,0.0,,,,,,,,0.0
2009-11-13,0.0,,0.0,,,,,,,,1.277121845251558e-06
2009-11-14,0.0,,0.0,,,,,,,,1.3349270455218226e-06
2009-11-15,0.0,,0.0,,,,,,,,4.5961312800331326e-07
2009-11-16,0.0,,0.0,,,,,,,,1.9878301855512258e-07
2009-11-17,0.0,,0.0,,,,,,,,1.1975263894898698e-07
2009-11-18,0.0,,0.0,,,,,,,,1.582596565393543e-07
2009-11-19,0.0,,0.0,,,,,,,,1.9606394570691325e-07
2009-11-20,0.0,,0.0,,,,,,,,
2009-11-21,0.0,,0.0,,,,,,,,
2009-11-22,0.0,,0.0,,,,,,,,
2009-11-23,0.0,,0.0,,,,,,,,
2009-11-24,0.0,,0.0,,,,,,,,
2009-11-25,0.0,,0.0,,,,,,,,
2009-11-26,0.0,,0.0,,,,,,,,
2009-11-27,0.0,,0.0,,,,,,,,
2009-11-28,0.0,,0.0,,,,,,,,
2009-11-29,0.0,,0.0,,,,,,,,
2009-11-30,0.0,,0.0,,,,,,,,
2009-12-01,0.0,,0.0,,,,,,,,
2009-12-02,0.0,,0.0,,,,,,,,
2009-12-03,0.0,,0.0,,,,,,,,
2009-12-04,0.0,,0.0,,,,,,,,
2009-12-05,0.0,,0.0,,,,,,,,
2009-12-06,0.0,,0.0,,,,,,,,
2009-12-07,0.0,,0.0,,,,,,,,
2009-12-08,0.0,,0.0,,,,,,,,
2009-12-09,0.0,,0.0,,,,,,,,
2009-12-10,0.0,,0.0,,,,,,,,
2009-12-11,0.0,,0.0,,,,,,,,
2009-12-12,0.0,,0.0,,,,,,,,
2009-12-13,0.0,,0.0,,,,,,,,
2009-12-14,0.0,,0.0,,,,,,,,
2009-12-15,0.0,,0.0,,,,,,,,
2009-12-16,0.0,,0.0,,,,,,,,
2009-12-17,0.0,,0.0,,,,,,,,
2009-12-18,0.0,,0.0,,,,,,,,
2009-12-19,0.0,,0.0,,,,,,,,
2009-12-20,0.0,,0.0,,,,,,,,
2009-12-21,0.0,,0.0,,,,,,,,
2009-12-22,0.0,,0.0,,,,,,,,
2009-12-23,0.0,,0.0,,,,,,,,
2009-12-24,0.0,,0.0,,,,,,,,
2009-12-25,0.0,,0.0,,,,,,,,
2009-12-26,0.0,,0.0,,,,,,,,
2009-12-27,0.0,,0.0,,,,,,,,
2009-12-28,0.0,,0.0,,,,,,,,
2009-12-29,0.0,,0.0,,,,,,,,
2009-12-30,0.0,,0.0,,,,,,,,
2009-12-31,0.0,,0.0,,,,,,,,
2010-01-01,0.0,,0.0,,,,,,,,
2010-01-02,0.0,,0.0,,,,,,,,
2010-01-03,0.0,,0.0,,,,,,,,
2010-01-04,0.0,,0.0,,,,,,,,
2010-01-05,0.0,,0.0,,,,,,,,
2010-01-06,0.0,,0.0,,,,,,,,
2010-01-07,0.0,,0.0,,,,,,,,
2010-01-08,0.0,,0.0,,,,,,,,
2010-01-09,0.0,,0.0,,,,,,,,
2010-01-10,0.0,,0.0,,,,,,,,
2010-01-11,0.0,,0.0,,,,,,,,
2010-01-12,0.0,,0.0,,,,,,,,
2010-01-13,0.0,,0.0,,,,,,,,
2010-01-14,0.0,,0.0,,,,,,,,
2010-01-15,0.0,,0.0,,,,,,,,
2010-01-16,0.0,,0.0,,,,,,,,
2010-01-17,0.0,,0.0,,,,,,,,
2010-01-18,0.0,,0.0,,,,,,,,
2010-01-19,0.0,,0.0,,,,,,,,
2010-01-20,0.0,,0.0,,,,,,,,
2010-01-21,0.0,,0.0,,,,,,,,
2010-01-22,0.0,,0.0,,,,,,,,
2010-01-23,0.0,,0.0,,,,,,,,
2010-01-24,0.0,,0.0,,,,,,,,
2010-01-25,0.0,,0.0,,,,,,,,
2010-01-26,0.0,,0.0,,,,,,,,
2010-01-27,0.0,,0.0,,,,,,,,
2010-01-28,0.0,,0.0,,,,,,,,
2010-01-29,0.0,,0.0,,,,,,,,
2010-01-30,0.0,,0.0,,,,,,,,
2010-01-31,0.0,,0.0,,,,,,,,
2010-02-01,0.0,,0.0,,,,,,,,
2010-02-02,0.0,,0.0,,,,,,,,
2010-02-03,0.0,,0.0,,,,,,,,
2010-02-04,0.0,,0.0,,,,,,,,
2010-02-05,0.0,,0.0,,,,,,,,
2010-02-06,0.0,,0.0,,,,,,,,
2010-02-07,0.0,,0.0,,,,,,,,
2010-02-08,0.0,,0.0,,,,,,,,
2010-02-09,0.0,,0.0,,,,,,,,
2010-02-10,0.0,,0.0,,,,,,,,
2010-02-11,0.0,,0.0,,,,,,,,
2010-02-12,0.0,,0.0,,,,,,,,
2010-02-13,0.0,,0.0,,,,,,,,
2010-02-14,0.0,,0.0,,,,,,,,
2010-02-15,0.0,,0.0,,,,,,,,
2010-02-16,0.0,,0.0,,,,,,,,
2010-02-17,0.0,,0.0,,,,,,,,
2010-02-18,0.0,,0.0,,,,,,,,
2010-02-19,0.0,,0.0,,,,,,,,
2010-02-20,0.0,,0.0,,,,,,,,
2010-02-21,0.0,,0.0,,,,,,,,
2010-02-22,0.0,,0.0,,,,,,,,
2010-02-23,0.0,,0.0,,,,,,,,
2010-02-24,0.0,,0.0,,,,,,,,
2010-02-25,0.0,,0.0,,,,,,,,
2010-02-26,0.0,,0.0,,,,,,,,
2010-02-27,0.0,,0.0,,,,,,,,
2010-02-28,0.0,,0.0,,,,,,,,
2010-03-01,0.0,,0.0,,,,,,,,
2010-03-02,0.0,,0.0,,,,,,,,
2010-03-03,0.0,,0.0,,,,,,,,
2010-03-04,0.0,,0.0,,,,,,,,
2010-03-05,0.0,,0.0,,,,,,,,
2010-03-06,0.0,,0.0,,,,,,,,
2010-03-07,0.0,,0.0,,,,,,,,
2010-03-08,0.0,,0.0,,,,,,,,
2010-03-09,0.0,,0.0,,,,,,,,
2010-03-10,0.0,,0.0,,,,,,,,
2010-03-11,0.0,,0.0,,,,,,,,
2010-03-12,0.0,,0.0,,,,,,,,
2010-03-13,0.0,,0.0,,,,,,,,
2010-03-14,0.0,,0.0,,,,,,,,
2010-03-15,0.0,,0.0,,,,,,,,
2010-03-16,0.0,,0.0,,,,,,,,
2010-03-17,0.0,,0.0,,,,,,,,
2010-03-18,0.0,,0.0,,,,,,,,
2010-03-19,0.0,,0.0,,,,,,,,
2010-03-20,0.0,,0.0,,,,,,,,
2010-03-21,0.0,,0.0,,,,,,,,
2010-03-22,0.0,,0.0,,,,,,,,
2010-03-23,0.0,,0.0,,,,,,,,
2010-03-24,0.0,,0.0,,,,,,,,
2010-03-25,1.3542629801569868e-07,,0.0,,,,,,,,
2010-03-26,0.0,,0.0,,,,,,,,
2010-03-27,0.0,,0.0,,,,,,,,
2010-03-28,0.0,,0.0,,,,,,,,
2010-03-29,0.0,,0.0,,,,,,,,
2010-03-30,0.0,,0.0,,,,,,,,
2010-03-31,0.0,,0.0,,,,,,,,
2010-04-01,0.0,,0.0,,,,,,,,
2010-04-02,0.0,,0.0,,,,,,,,
2010-04-03,0.0,,0.0,,,,,,,,
2010-04-04,0.0,,0.0,,,,,,,,
2010-04-05,0.0,,0.0,,,,,,,,
2010-04-06,0.0,,0.0,,,,,,,,
2010-04-07,0.0,,0.0,,,,,,,,
2010-04-08,0.0,,0.0,,,,,,,,
2010-04-09,0.0,,0.0,,,,,,,,
2010-04-10,0.0,,0.0,,,,,,,,
2010-04-11,0.0,,0.0,,,,,,,,
2010-04-12,0.0,,0.0,,,,,,,,
2010-04-13,0.0,,0.0,,,,,,,,
2010-04-14,0.0,,0.0,,,,,,,,
2010-04-15,0.0,,0.0,,,,,,,,
2010-04-16,0.0,,0.0,,,,,,,,
2010-04-17,0.0,,0.0,,,,,,,,
2010-04-18,0.0,,0.0,,,,,,,,
