,#hurricanealex,hurricane alex,#hurricanebonnie,hurricane bonnie,#hurricanecolin,hurricane colin,#hurricanedanielle,hurricane danielle,#hurricaneearl,hurricane earl,hurricane fiona,hurricane gaston,#hurricanehermine,hurricane hermine,#hurricaneigor,hurricane igor,hurricane julia,#hurricanekarl,hurricane karl,hurricane lisa,hurricane matthew,hurricane nicole,hurricane otto,#hurricanepaula,hurricane paula,#hurricanerichard,hurricane richard,hurricane shary,#hurricanetomas,hurricane tomas
2010-06-26,,8.704699050007549e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-27,4.126693280261857e-08,3.118265590386904e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-28,4.1783763051132275e-08,3.0551512534622895e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-29,4.837596521355854e-07,6.625368236496792e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1.9858908517178573e-06,3.9022993641880534e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,5.951010980061583e-07,2.4626211010488594e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-02,6.232946630194134e-07,7.620024734887838e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-03,1.778982742088419e-07,3.1491239150960045e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-04,1.0502982584479427e-07,1.4988716183370597e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-05,0.0,1.3398008663896735e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-06,1.6922206080317867e-07,8.869803699417727e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-07,1.4370887013643248e-07,8.165245502009004e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-08,7.836177807105979e-08,5.051832113221156e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-09,6.045428858793714e-08,5.412895448278897e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-10,0.0,1.54705591005912e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-11,4.5245583866999337e-08,1.2192017447264647e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-12,5.916366246736138e-08,1.4835988675054017e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-13,,3.388312228736488e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-14,,3.009818867595639e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-15,,1.9642026682645674e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-18,,1.547653409209621e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-20,,2.6591665759780063e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-22,,1.291487502372301e-07,1.2015817381684904e-07,1.291487502372301e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-23,,0.0,6.163592215506303e-08,1.1935408750617326e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-24,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-25,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-26,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-27,,1.922493027438205e-07,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-28,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-29,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-30,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-31,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-01,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-02,,0.0,,0.0,,1.3108884756385797e-07,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-03,,0.0,,0.0,5.900548149121957e-08,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-04,,6.322460934462255e-08,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-05,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-06,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-07,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-08,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-09,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-10,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-11,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-12,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-13,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-14,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-15,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-16,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-17,,1.2507400472517083e-07,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-18,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-19,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-20,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-21,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-22,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-23,,0.0,,0.0,,,1.7967876312014328e-07,4.507698472836834e-06,,,,,,,,,,,,,,,,,,,,,,
2010-08-24,,6.338501726512793e-08,,0.0,,,2.3580791535250425e-07,7.289276985489712e-06,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,,6.378327972348672e-08,,0.0,,,0.0,4.975095818431964e-06,,1.2756655944697344e-07,,,,,,,,,,,,,,,,,,,,
2010-08-26,,1.277779729941254e-07,,0.0,,,0.0,4.472229054794389e-06,,0.0,,,,,,,,,,,,,,,,,,,,
2010-08-27,,0.0,,0.0,,,1.838453835811365e-07,1.0683063894811651e-05,,0.0,,,,,,,,,,,,,,,,,,,,
2010-08-28,,0.0,,0.0,,,6.698920180959271e-08,6.281800713554797e-06,,1.444092118058574e-07,,,,,,,,,,,,,,,,,,,,
2010-08-29,,,,0.0,,,6.505930285573907e-08,2.94508613430308e-06,6.505930285573907e-08,1.4795551769951188e-05,,,,,,,,,,,,,,,,,,,,
2010-08-30,,,,1.9175612302868314e-07,,,5.939170187456247e-08,2.812423137754019e-06,2.2568846712333736e-06,0.00019239531010544544,1.086618030495871e-06,,,,,,,,,,,,,,,,,,,
2010-08-31,,,,1.2536202201419787e-07,,,5.8273017361105244e-08,5.014480880567915e-07,2.5640127638886305e-06,0.00016974017780722393,1.2536202201419787e-07,,,,,,,,,,,,,,,,,,,
2010-09-01,,,,,,,,2.1643002568375114e-07,2.447752143702767e-06,5.8183605237981764e-05,,1.0821501284187557e-07,,,,,,,,,,,,,,,,,,
2010-09-02,,,,,,,,,3.743954543000554e-06,7.109365715756124e-05,,2.012844200383954e-07,,,,,,,,,,,,,,,,,,
2010-09-03,,,,,,,,,4.936820496337376e-06,6.881031737890411e-05,,0.0,,,,,,,,,,,,,,,,,,
2010-09-04,,,,,,,,,1.5667443124712133e-06,2.146257349097013e-05,,0.0,,,,,,,,,,,,,,,,,,
2010-09-05,,,,,,,,,1.405980287945466e-07,5.79704719633769e-06,,0.0,,,,,,,,,,,,,,,,,,
2010-09-06,,,,,,,,,3.138337640754051e-08,2.8389539495645635e-06,,0.0,9.415012922262152e-08,7.7733262904744e-07,,,,,,,,,,,,,,,,
2010-09-07,,,,,,,,,5.875444282735897e-08,1.990178877909349e-06,,0.0,,6.318028183839205e-07,,,,,,,,,,,,,,,,
2010-09-08,,,,,,,,,2.9340206530995008e-08,1.672104740388545e-06,,0.0,,3.470406064957357e-07,,,,,,,,,,,,,,,,
2010-09-09,,,,,,,,,,1.1066318518178215e-06,,0.0,,,,,,,,,,,,,,,,,,
2010-09-10,,,,,,,,,,6.129847551051985e-07,,0.0,,,,,,,,,,,,,,,,,,
2010-09-11,,,,,,,,,,1.783935956413735e-07,,0.0,,,,1.0346828547199662e-06,,,,,,,,,,,,,,
2010-09-12,,,,,,,,,,3.7252489801199603e-07,,0.0,,,2.874034956542292e-08,1.0989484491353882e-05,,,,,,,,,,,,,,
2010-09-13,,,,,,,,,,4.2107963522842923e-07,,0.0,,,1.2047418760716366e-07,1.0235474210167972e-05,,,,,,,,,,,,,,
2010-09-14,,,,,,,,,,2.8801026698999766e-07,,0.0,,,5.953725324822602e-08,6.080216747566617e-06,3.6801311893166367e-06,,,,,,,,,,,,,
