,#hurricanedon,hurricane don,#hurricaneemily,hurricane emily,#hurricaneirene,hurricane irene,#hurricanejose,hurricane jose,#hurricanekatia,hurricane katia,#hurricanelee,hurricane lee,#hurricanemaria,hurricane maria,hurricane nate,#hurricaneophelia,hurricane ophelia,hurricane philippe,#hurricanerina,hurricane rina
2011-07-28,,1.2079771914578618e-07,,,,,,,,,,,,,,,,,,
2011-07-29,3.822270584420968e-08,2.486109313093936e-07,,,,,,,,,,,,,,,,,,
2011-07-30,,4.829052196130603e-08,,,,,,,,,,,,,,,,,,
2011-07-31,,,,,,,,,,,,,,,,,,,,
2011-08-01,,,,,,,,,,,,,,,,,,,,
2011-08-02,,,3.7488225885455024e-08,4.0631737376927993e-07,,,,,,,,,,,,,,,,
2011-08-03,,,3.691199333044575e-08,3.200243005118855e-07,,,,,,,,,,,,,,,,
2011-08-04,,,,2.4257021252074935e-07,,,,,,,,,,,,,,,,
2011-08-05,,,,8.42117980616802e-08,,,,,,,,,,,,,,,,
2011-08-06,,,,1.4556831341414272e-07,,,,,,,,,,,,,,,,
2011-08-07,,,,,,,,,,,,,,,,,,,,
2011-08-08,,,,,,,,,,,,,,,,,,,,
2011-08-09,,,,,,,,,,,,,,,,,,,,
2011-08-10,,,,,,,,,,,,,,,,,,,,
2011-08-11,,,,,,,,,,,,,,,,,,,,
2011-08-12,,,,,,,,,,,,,,,,,,,,
2011-08-13,,,,,,,,,,,,,,,,,,,,
2011-08-14,,,,,,,,,,,,,,,,,,,,
2011-08-15,,,,,,,,,,,,,,,,,,,,
2011-08-16,,,,,,,,,,,,,,,,,,,,
2011-08-17,,,,,,,,,,,,,,,,,,,,
2011-08-18,,,,,,,,,,,,,,,,,,,,
2011-08-19,,,,,,,,,,,,,,,,,,,,
2011-08-20,,,,,,,,,,,,,,,,,,,,
2011-08-21,,,,,1.220403072828489e-07,1.1046901934648355e-06,,,,,,,,,,,,,,
2011-08-22,,,,,2.7196446669865e-06,3.533040916002221e-05,,,,,,,,,,,,,,
2011-08-23,,,,,4.560302889433654e-06,5.757654466247766e-05,,,,,,,,,,,,,,
2011-08-24,,,,,5.346893187091908e-06,5.076462327651208e-05,,,,,,,,,,,,,,
2011-08-25,,,,,1.856147877867969e-05,9.239338445846911e-05,,,,,,,,,,,,,,
2011-08-26,,,,,4.445174866583768e-05,0.00018206388023165554,,,,,,,,,,,,,,
2011-08-27,,,,,7.269150344588658e-05,0.00024909821448881354,,,,,,,,,,,,,,
2011-08-28,,,,,3.408286372211879e-05,0.00013517748661514664,,3.5304259166347415e-07,,,,,,,,,,,,
2011-08-29,,,,,5.632012535332139e-06,6.548150753930268e-05,2.5894310507274205e-08,,,3.36954584250271e-07,,,,,,,,,,
2011-08-30,,,,,2.4114452771766035e-06,3.218543012485898e-05,,,1.6945291136916676e-07,1.8932605955799402e-06,,,,,,,,,,
2011-08-31,,,,,1.5367305494093448e-06,2.051382057980046e-05,,,1.4086696702918995e-07,1.67827741051782e-06,,,,,,,,,,
2011-09-01,,,,,6.269362124926105e-07,1.3886054350271517e-05,,,6.530585546798026e-08,3.000859859589767e-06,,9.908499536381306e-08,,,,,,,,
2011-09-02,,,,,5.61997368621273e-07,1.0694859380157875e-05,,,0.0,2.1767013663822003e-06,,3.1924953373605596e-07,,,,,,,,
2011-09-03,,,,,3.6146720812141053e-07,5.988258204452054e-06,,,5.783475329942568e-08,1.5560041003694318e-06,2.891737664971284e-08,4.4008196778125337e-07,,,,,,,,
2011-09-04,,,,,4.306416707312063e-07,5.261378151537427e-06,,,1.37805334633986e-07,3.051973803204984e-06,3.44513336584965e-08,3.3702778194901666e-07,,,,,,,,
2011-09-05,,,,,1.0586244239528279e-07,4.9699720322724135e-06,,,0.0,5.199797328562467e-06,5.2931221197641394e-08,3.160097823988239e-07,,,,,,,,
2011-09-06,,,,,1.4741282241542867e-07,4.31543102876743e-06,,,2.9482564483085733e-08,7.096486580639775e-06,0.0,1.917969346118858e-07,,1.2786462307459054e-07,,,,,,
2011-09-07,,,,,1.5557892005203805e-07,4.653409350709118e-06,,,0.0,3.844120767977098e-06,0.0,,,0.0,,,,,,
2011-09-08,,,,,2.0373284929124778e-07,3.657712480693317e-06,,,3.819990924210896e-08,2.291246308660719e-06,5.093321232281195e-08,,,1.2422419745750887e-07,9.661882024472912e-08,,,,,
2011-09-09,,,,,4.044180733304601e-08,3.274194079783515e-06,,,9.436421711044069e-08,4.034274848304688e-06,,,,8.770162713705844e-08,2.923387571235281e-08,,,,,
2011-09-10,,,,,4.2610924154103205e-08,2.2391651700421257e-06,,,2.4146190353991814e-07,2.7333257592928016e-06,,,,0.0,,,,,,
2011-09-11,,,,,3.8900724650478935e-08,1.5218010255868016e-06,,,4.279079711552683e-07,2.7758777966722213e-06,,,,0.0,,,,,,
2011-09-12,,,,,9.100168689827003e-08,2.043143238065275e-06,,,1.0400192788373717e-06,5.734891709603909e-06,,,,0.0,,,,,,
2011-09-13,,,,,6.396148311123903e-08,1.7043237932538845e-06,,,1.1513066960023024e-07,1.1777847351754487e-06,,,,0.0,,,,,,
2011-09-14,,,,,9.148260247250552e-08,1.344852157217181e-06,,,0.0,3.539084624255739e-07,,,,0.0,,,,,,
2011-09-15,,,,,9.127279997803194e-08,1.9779611332050153e-06,,,0.0,1.5541123189467977e-07,,,,7.770561594733989e-07,,,,,,
2011-09-16,,,,,8.130090995230455e-08,2.027837745119663e-06,,,0.0,0.0,,,1.3550151658717426e-07,2.3217272733978754e-06,,,,,,
