,#hurricanebarry,hurricane barry,#hurricanedorian,hurricane dorian,hurricane erin,#hurricanehumberto,hurricane humberto,#hurricanejerry,hurricane jerry,#hurricaneimelda,#hurricanekaren,hurricane karen,#hurricanelorenzo,hurricane lorenzo,#hurricanepablo,hurricane pablo
2019-07-11,2.161752445645326e-06,1.5159617028911506e-06,,,,,,,,,,,,,,
2019-07-12,2.3087912800934023e-06,2.428760299259955e-06,,,,,,,,,,,,,,
2019-07-13,3.8037731255821134e-06,9.210485482200446e-06,,,,,,,,,,,,,,
2019-07-14,8.004413662800627e-07,2.6758969345935958e-06,,,,,,,,,,,,,,
2019-07-15,5.245645579516664e-07,1.1751949537357993e-06,,,,,,,,,,,,,,
2019-07-16,1.7283242808582264e-07,7.226649434555775e-07,,,,,,,,,,,,,,
2019-07-17,1.3275781052367182e-07,5.520513975138663e-07,,,,,,,,,,,,,,
2019-07-18,3.9805667140791966e-08,2.969486196166662e-07,,,,,,,,,,,,,,
2019-07-19,5.41721882233807e-08,2.1690781682412512e-07,,,,,,,,,,,,,,
2019-07-20,1.5265262170955365e-08,0.0,,,,,,,,,,,,,,
2019-07-21,0.0,0.0,,,,,,,,,,,,,,
2019-07-22,1.3881339946311142e-08,1.4812091803745294e-07,,,,,,,,,,,,,,
2019-07-23,0.0,0.0,,,,,,,,,,,,,,
2019-07-24,4.024594673679693e-08,1.0013578555572478e-07,,,,,,,,,,,,,,
2019-07-25,,,,,,,,,,,,,,,,
2019-07-26,,,,,,,,,,,,,,,,
2019-07-27,,,,,,,,,,,,,,,,
2019-07-28,,,,,,,,,,,,,,,,
2019-07-29,,,,,,,,,,,,,,,,
2019-07-30,,,,,,,,,,,,,,,,
2019-07-31,,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,,,
2019-08-02,,,,,,,,,,,,,,,,
2019-08-03,,,,,,,,,,,,,,,,
2019-08-04,,,,,,,,,,,,,,,,
2019-08-05,,,,,,,,,,,,,,,,
2019-08-06,,,,,,,,,,,,,,,,
2019-08-07,,,,,,,,,,,,,,,,
2019-08-08,,,,,,,,,,,,,,,,
2019-08-09,,,,,,,,,,,,,,,,
2019-08-10,,,,,,,,,,,,,,,,
2019-08-11,,,,,,,,,,,,,,,,
2019-08-12,,,,,,,,,,,,,,,,
2019-08-13,,,,,,,,,,,,,,,,
2019-08-14,,,,,,,,,,,,,,,,
2019-08-15,,,,,,,,,,,,,,,,
2019-08-16,,,,,,,,,,,,,,,,
2019-08-17,,,,,,,,,,,,,,,,
2019-08-18,,,,,,,,,,,,,,,,
2019-08-19,,,,,,,,,,,,,,,,
2019-08-20,,,,,,,,,,,,,,,,
2019-08-21,,,,,,,,,,,,,,,,
2019-08-22,,,,,,,,,,,,,,,,
2019-08-23,,,,,,,,,,,,,,,,
2019-08-24,,,,,,,,,,,,,,,,
2019-08-25,,,,,,,,,,,,,,,,
2019-08-26,,,1.4121171171527381e-07,6.027963632873445e-08,,,,,,,,,,,,
2019-08-27,,,2.209984224768935e-06,7.755693506805129e-07,,,,,,,,,,,,
2019-08-28,,,1.0556629305331888e-05,1.1003998057286356e-05,,,,,,,,,,,,
2019-08-29,,,2.126786420394992e-05,3.6184899948096646e-05,,,,,,,,,,,,
2019-08-30,,,2.5074828850354694e-05,5.817585733638962e-05,,,,,,,,,,,,
2019-08-31,,,1.6944117039271326e-05,3.8448302527075936e-05,,,,,,,,,,,,
2019-09-01,,,3.3713528635417214e-05,6.096242168615303e-05,,,,,,,,,,,,
2019-09-02,,,4.400905569721117e-05,7.53235694664e-05,,,,,,,,,,,,
2019-09-03,,,2.8039826438388688e-05,6.44400148499232e-05,,,,,,,,,,,,
2019-09-04,,,2.0945076495478792e-05,5.354067572585602e-05,,,,,,,,,,,,
2019-09-05,,,2.20255898055321e-05,5.235153398554761e-05,,,,,,,,,,,,
2019-09-06,,,1.1501847075641471e-05,4.234325246261374e-05,,,,,,,,,,,,
2019-09-07,,,8.129231503766123e-06,2.7842615933273327e-05,,,,,,,,,,,,
2019-09-08,,,4.779161228588417e-06,1.5854252691105586e-05,,,,,,,,,,,,
2019-09-09,,,4.354696343548718e-06,1.6916690203260236e-05,,,,,,,,,,,,
2019-09-10,,,2.392703279243221e-06,1.242218389091193e-05,,,,,,,,,,,,
2019-09-11,,,1.8845995925661968e-06,8.442641930552361e-06,1.4759863514951682e-08,,,,,,,,,,,
2019-09-12,,,1.5628595743979316e-06,7.533039528084409e-06,0.0,,,,,,,,,,,
2019-09-13,,,1.2171927284000588e-06,5.53705804338021e-06,0.0,,,,,,,,,,,
2019-09-14,,,7.688417589574062e-07,3.469083560193861e-06,0.0,4.613050553744438e-08,,,,,,,,,,
2019-09-15,,,7.749184182281794e-07,2.1040204770923814e-06,0.0,5.960910909447534e-08,2.8691188323987017e-07,,,,,,,,,
2019-09-16,,,7.308091074330426e-07,2.7428017678091807e-06,0.0,3.654045537165213e-07,1.3639068900034722e-06,,,,,,,,,
2019-09-17,,,5.563700813546588e-07,1.808719546351789e-06,0.0,2.6427578864346293e-07,1.6456382757790867e-06,,,,,,,,,
2019-09-18,,,3.875521086301917e-07,1.977282091192427e-06,0.0,8.304688042075536e-07,1.933014581688119e-06,4.152344021037768e-08,,,,,,,,
2019-09-19,,,3.2150798090443886e-07,1.5799337208861066e-06,0.0,3.2150798090443886e-07,1.4159783347564164e-06,1.3978607865410385e-07,9.539222465727437e-07,8.387164719246231e-08,,,,,,
2019-09-20,,,4.3134775526340593e-07,1.3337858802391204e-06,0.0,4.3134775526340596e-08,1.9930133842653525e-07,2.5880865315804355e-07,1.0731610530659591e-06,4.3134775526340596e-08,,,,,,
2019-09-21,,,2.614936415283036e-07,8.72070800565273e-07,0.0,0.0,0.0,6.152791565371849e-08,,,,,,,,
2019-09-22,,,2.463850672793558e-07,8.685607619362428e-07,0.0,4.347971775518043e-08,2.171401904840607e-07,,,,8.695943551036086e-08,2.636702313020737e-07,,,,
2019-09-23,,,4.078464047177062e-07,1.1158945468639189e-06,0.0,,,,,,0.0,0.0,,,,
