Arthur,May 31, June 2,Tropical storm,45 (75),1004,"Belize, Yucatán Peninsula, Southwestern Mexico",78000000,5 (4),
Bertha,July 3, July 20,Category 3 hurricane,125 (205),952,"Cape Verde, Bermuda, United States East Coast",Minimal,3,
Cristobal,July 19, July 23,Tropical storm,65 (100),998,"Florida, The Carolinas, Atlantic Canada",10000,None,
Dolly,July 20, July 25,Category 2 hurricane,100 (155),963,"Guatemala, Yucatán Peninsula (Quintana Roo), Northeastern Mexico, South Texas, New Mexico, Arizona",1600000000,1 (21),
Edouard,August 3, August 6,Tropical storm,65 (100),996,United States Gulf Coast (Southeast Texas),5500000,6,
Fay,August 15, August 27,Tropical storm,70 (110),986,"Leeward Islands, Puerto Rico, Dominican Republic, Haiti, Jamaica, Cuba, Southeastern United States (Florida)",560000000,13 (23),
Gustav,August 25, September 4,Category 4 hurricane,155 (250),941,"Lesser Antilles, Dominican Republic, Haiti, Jamaica, Cayman Islands, Western Cuba, United States Gulf Coast (Louisiana), Midwestern United States",8310000000,112 (41),
Hanna,August 28, September 7,Category 1 hurricane,85 (140),977,"Puerto Rico, Turks and Caicos Islands, Bahamas, Haiti, Dominican Republic, United States East Coast (South Carolina), Atlantic Canada",160000000,≥532 (5),
Ike,September 1, September 14,Category 4 hurricane,145 (230),935,"Dominican Republic, Turks and Caicos Islands, Haiti, The Bahamas, Cuba, United States Gulf Coast (Southeast Texas), Midwestern United States, Eastern Canada, Iceland",38000000000,103 (92),
Josephine,September 2, September 6,Tropical storm,65 (100),994,"Cape Verde, Leeward Islands",Minimal,None,
Kyle,September 25, September 29,Category 1 hurricane,85 (140),984,"Puerto Rico, Dominican Republic, Haiti, Bermuda, New England, The Maritimes (Nova Scotia)",57100000,8,
Laura,September 29, October 1,Tropical storm,60 (95),994,"British Isles, Netherlands, Norway",Minimal,None,
Marco,October 6, October 7,Tropical storm,65 (100),998,Eastern Mexico (Veracruz),Minimal,None,
Nana,October 12, October 14,Tropical storm,40 (65),1004,None,None,None,
Omar,October 13, October 18,Category 4 hurricane,130 (215),958,"Leeward Antilles, Venezuela, Leeward Islands, Puerto Rico",80000000,0 (1),
Sixteen,October 14, October 15,Tropical depression,30 (45),1004,"Honduras, Belize",150000000,75,
Paloma,November 5, November 10,Category 4 hurricane,145 (230),944,"Nicaragua, Honduras, Cayman Islands, Jamaica, Cuba, The Bahamas, Florida",454500000,0 (1),
